step,step_heading,step_cell_number,original_cell_index,filename
GENERAL,No step heading detected,1,1,GENERAL/GENERAL_cell_001_original_001.py
GENERAL,No step heading detected,2,2,GENERAL/GENERAL_cell_002_original_002.py
GENERAL,No step heading detected,3,3,GENERAL/GENERAL_cell_003_original_003.py
GENERAL,No step heading detected,4,4,GENERAL/GENERAL_cell_004_original_004.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,1,5,STEP_01/STEP_01_cell_001_original_005.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,2,6,STEP_01/STEP_01_cell_002_original_006.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,3,7,STEP_01/STEP_01_cell_003_original_007.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,4,8,STEP_01/STEP_01_cell_004_original_008.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,5,9,STEP_01/STEP_01_cell_005_original_009.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,6,10,STEP_01/STEP_01_cell_006_original_010.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,7,11,STEP_01/STEP_01_cell_007_original_011.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,8,12,STEP_01/STEP_01_cell_008_original_012.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,9,13,STEP_01/STEP_01_cell_009_original_013.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,10,14,STEP_01/STEP_01_cell_010_original_014.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,11,15,STEP_01/STEP_01_cell_011_original_015.py
STEP_01,# PHASE 1 — STEP 1: REPOSITORY + TENSOR GEOMETRY AUDIT,12,16,STEP_01/STEP_01_cell_012_original_016.py
STEP_16,# STEP 16 — FINAL 3000-TEST LNO EVALUATION,1,17,STEP_16/STEP_16_cell_001_original_017.py
STEP_17,# STEP 17 — FINAL FNO vs LNO COMPARISON,1,18,STEP_17/STEP_17_cell_001_original_018.py
STEP_18,# STEP 18 — FINAL OOD SIGMA SWEEP,1,19,STEP_18/STEP_18_cell_001_original_019.py
STEP_19,# STEP 19 — FINAL LONG-HORIZON ROLLOUT,1,20,STEP_19/STEP_19_cell_001_original_020.py
STEP_20,# STEP 20 — FINAL SPECTRAL STABILITY ANALYSIS,1,21,STEP_20/STEP_20_cell_001_original_021.py
STEP_21,# STEP 21 — FINAL FIGURES + CSV/JSON SUBMISSION BUNDLE,1,22,STEP_21/STEP_21_cell_001_original_022.py
STEP_22,# STEP 22 — FINAL PAPER FIGURES + IEEE-READY TABLES,1,23,STEP_22/STEP_22_cell_001_original_023.py
STEP_22,# STEP 22 — FINAL PAPER FIGURES + IEEE-READY TABLES,2,24,STEP_22/STEP_22_cell_002_original_024.py
STEP_01,# STEP 1 — PHYSICAL STATE DEFINITION / DATA AUDIT,13,25,STEP_01/STEP_01_cell_013_original_025.py
