regime,model,completed_steps,worst_minimum_eigenvalue,worst_max_trace_error,worst_psd_violation_fraction,max_R_norm,min_R_norm,max_amplitude_norm,min_amplitude_norm,all_finite
low_noise,FNO,100,-3052.16943359375,1280.1636962890625,0.4520833194255829,36572.76171875,24.77704620361328,117489.3046875,21.627944946289062,True
low_noise,LNO,100,-2.834431995779596e-07,1.1920928955078125e-07,0.0,25.117351531982422,23.78239631652832,37.834529876708984,21.0732479095459,True
stochastic,FNO,100,-54929.9609375,23389.505859375,0.39531248807907104,688098.5625,19.160268783569336,2287975.0,17.885608673095703,True
stochastic,LNO,100,-2.7321596007823246e-07,1.1920928955078125e-07,0.0,20.453414916992188,19.23185920715332,36.691368103027344,13.938872337341309,True
heavy_dissipation,FNO,100,-7367.24365234375,3166.123046875,0.3929687440395355,90456.234375,22.48797607421875,295226.8125,21.069406509399414,True
heavy_dissipation,LNO,100,-3.360702010013483e-07,1.1920928955078125e-07,0.0,23.192157745361328,21.98883056640625,37.76589584350586,20.63516616821289,True
collapse,FNO,100,-47460.65625,21297.2421875,0.3916666805744171,619475.125,18.173192977905273,2063608.625,19.197513580322266,True
collapse,LNO,100,-2.5792380142775073e-07,1.1920928955078125e-07,0.0,19.87203025817871,18.83902359008789,36.82350540161133,12.565596580505371,True
metastable,FNO,100,-49051.3984375,21892.921875,0.4260416626930237,625618.875,20.922937393188477,2080482.125,20.414709091186523,True
metastable,LNO,100,-3.071423009259888e-07,1.1920928955078125e-07,0.0,21.800268173217773,20.5301456451416,36.977054595947266,17.772920608520508,True
