stress_level,label,model,gamma,sigma,R_norm,amplitude_norm,mean_trace_error,max_trace_error,minimum_eigenvalue,negative_eigenvalue_fraction,finite,response_from_baseline,Lindblad_delta_norm,Neural_delta_norm
0,baseline_collapse,FNO,0.5,0.65,147.17039489746094,174.434814453125,0.014449325390160084,0.1505589485168457,-0.6636796593666077,0.3205667734146118,True,0.0,,
0,baseline_collapse,LNO,0.5,0.65,148.97250366210938,169.9540252685547,2.0586305993219867e-08,2.384185791015625e-07,-2.559822860348504e-07,0.0,True,0.0,129.24765014648438,524.6758422851562
1,collapse_stress_1,FNO,0.6,0.75,146.1100311279297,179.40188598632812,0.01578863337635994,0.14373862743377686,-0.653896689414978,0.30870336294174194,True,12.343406677246094,,
1,collapse_stress_1,LNO,0.6,0.75,150.4394073486328,173.31629943847656,1.8902399645526202e-08,2.384185791015625e-07,-2.643496941345802e-07,0.0,True,16.47309112548828,155.0965576171875,526.357177734375
2,collapse_stress_2,FNO,0.7,0.85,144.4409942626953,185.90948486328125,0.01748485676944256,0.13699603080749512,-0.6462025046348572,0.29203054308891296,True,22.057085037231445,,
2,collapse_stress_2,LNO,0.7,0.85,154.50924682617188,178.4641876220703,1.899176815811643e-08,2.384185791015625e-07,-2.906287193127355e-07,0.0,True,36.66688537597656,180.94740295410156,532.2599487304688
3,collapse_stress_3,FNO,0.8,1.0,140.8920135498047,196.0674285888672,0.02066381461918354,0.13888263702392578,-0.6410418748855591,0.2714777886867523,True,33.55641555786133,,
3,collapse_stress_3,LNO,0.8,1.0,163.6649932861328,187.48851013183594,1.8104346466429888e-08,2.384185791015625e-07,-3.092692395512131e-07,0.0,True,66.41912841796875,206.7952117919922,552.5068969726562
4,collapse_stress_4,FNO,0.9,1.15,137.26393127441406,205.67764282226562,0.02427573874592781,0.16522622108459473,-0.6434098482131958,0.2638406753540039,True,44.5660514831543,,
4,collapse_stress_4,LNO,0.9,1.15,172.995849609375,197.53366088867188,1.542797001263807e-08,2.384185791015625e-07,-3.091200539984129e-07,0.0,True,90.81114196777344,232.6460723876953,582.9307250976562
5,collapse_stress_5,FNO,1.0,1.3,134.93734741210938,214.5510711669922,0.027774132788181305,0.19489479064941406,-0.653529942035675,0.26763731241226196,True,55.47140121459961,,
5,collapse_stress_5,LNO,1.0,1.3,179.84408569335938,207.82345581054688,1.6986446027544844e-08,1.6808509826660156e-05,-2.9242960408737417e-07,0.0,True,107.1162338256836,258.49530029296875,614.5147705078125
