step,R_norm,amplitude_norm,trace_error,minimum_eigenvalue,finite
0,9.640678405761719,34.50159454345703,1.1920928955078125e-07,-1.8717315697358572e-07,True
1,9.424064636230469,29.159135818481445,1.1920928955078125e-07,-1.864942049678575e-07,True
2,9.29328441619873,27.043415069580078,1.1920928955078125e-07,-1.5337313641339279e-07,True
3,9.30815601348877,25.36279296875,1.7881393432617188e-07,-1.7966749510378577e-07,True
4,9.370644569396973,23.92377471923828,1.1920928955078125e-07,-1.1410838851588778e-07,True
5,9.392910957336426,22.909420013427734,1.1920928955078125e-07,-1.9843194820623467e-07,True
6,9.395570755004883,22.184995651245117,1.1920928955078125e-07,-1.743968454093192e-07,True
7,9.37929630279541,21.64594841003418,1.1920928955078125e-07,-1.1199428229247133e-07,True
8,9.369702339172363,21.23625373840332,1.1920928955078125e-07,-1.9457702649106068e-07,True
9,9.358797073364258,20.924991607666016,1.1920928955078125e-07,-1.6656125012559642e-07,True
10,9.334195137023926,20.661537170410156,1.1920928955078125e-07,-2.2524847054228303e-07,True
11,9.299149513244629,20.41061782836914,1.7881393432617188e-07,-1.3223171890786034e-07,True
12,9.281661987304688,20.16411018371582,1.1920928955078125e-07,-1.610567608167912e-07,True
13,9.298774719238281,19.939287185668945,1.1920928955078125e-07,-1.676121428317856e-07,True
14,9.341080665588379,19.777063369750977,1.1920928955078125e-07,-1.3430177148165967e-07,True
15,9.342637062072754,19.701486587524414,1.1920928955078125e-07,-1.8563189030373906e-07,True
16,9.350525856018066,19.576860427856445,1.7881393432617188e-07,-2.3509052482495463e-07,True
17,9.351826667785645,19.43793296813965,1.7881393432617188e-07,-1.4820764704381872e-07,True
18,9.340581893920898,19.276411056518555,1.1920928955078125e-07,-3.330194715545076e-07,True
19,9.325462341308594,19.102558135986328,1.1920928955078125e-07,-1.513166836275559e-07,True
20,9.338277816772461,18.94627571105957,1.1920928955078125e-07,-1.4905504031048622e-07,True
21,9.394380569458008,18.862255096435547,1.1920928955078125e-07,-1.659148125554566e-07,True
22,9.458230018615723,18.87905502319336,1.1920928955078125e-07,-2.299248791359787e-07,True
23,9.495196342468262,18.973297119140625,1.1920928955078125e-07,-1.7604988045150094e-07,True
24,9.489028930664062,19.034521102905273,2.384185791015625e-07,-1.1330983795687644e-07,True
25,9.469783782958984,18.97617530822754,1.1920928955078125e-07,-1.436894478956674e-07,True
26,9.457619667053223,18.80878257751465,1.7881393432617188e-07,-1.5992112878393527e-07,True
27,9.424939155578613,18.625085830688477,1.1920928955078125e-07,-1.6899045363061305e-07,True
28,9.385293960571289,18.484249114990234,1.1920928955078125e-07,-1.8567561710369773e-07,True
29,9.365377426147461,18.4023494720459,1.7881393432617188e-07,-1.5630669736310665e-07,True
30,9.340461730957031,18.363107681274414,1.7881393432617188e-07,-1.6491587473410618e-07,True
31,9.307123184204102,18.335493087768555,1.1920928955078125e-07,-1.5758030258439248e-07,True
32,9.293540954589844,18.301708221435547,1.7881393432617188e-07,-1.711291446326868e-07,True
33,9.320676803588867,18.272432327270508,1.1920928955078125e-07,-1.7714377520405833e-07,True
34,9.371017456054688,18.275224685668945,1.1920928955078125e-07,-1.6923418399983348e-07,True
35,9.42991828918457,18.35073471069336,1.1920928955078125e-07,-1.6791247503533668e-07,True
36,9.446189880371094,18.46040916442871,1.1920928955078125e-07,-1.7141250907570793e-07,True
37,9.448716163635254,18.42046356201172,1.1920928955078125e-07,-1.8978239779698924e-07,True
38,9.434412956237793,18.3391170501709,1.1920928955078125e-07,-2.0697211766673718e-07,True
39,9.397278785705566,18.31980323791504,1.1920928955078125e-07,-1.6131527047491545e-07,True
