sample_index,dataset_index,regime
0,99,low_noise
1,173,low_noise
2,742,low_noise
3,915,low_noise
4,989,low_noise
5,3267,stochastic
6,3341,stochastic
7,3613,stochastic
8,3687,stochastic
9,3761,stochastic
10,4752,heavy_dissipation
11,4826,heavy_dissipation
12,5494,heavy_dissipation
13,5667,heavy_dissipation
14,5741,heavy_dissipation
15,6336,collapse
16,6410,collapse
17,6682,collapse
18,6954,collapse
19,7028,collapse
20,8415,metastable
21,8489,metastable
22,9355,metastable
23,9627,metastable
24,9701,metastable
