epoch,train_loss,train_R_MSE,train_R_relative_L2,train_Amplitude_MSE,val_loss,val_R_MSE,val_R_relative_L2,val_Amplitude_MSE,learning_rate,kappa_lindblad,kappa_neural,seconds
1,0.1500557146248815,0.01035879128384115,0.6075347214593172,0.13969692322701044,0.11170433711022239,0.009470539203898273,0.5447585822355868,0.10223379785615186,0.001,0.6713613867759705,1.017611026763916,36.08526110649109
2,0.10275980726120965,0.009029566708946814,0.567837439866637,0.09373024047109128,0.10692277569511924,0.008802152970046908,0.5244133861377985,0.09812062219763645,0.001,0.7079834342002869,1.125152826309204,35.94730734825134
3,0.09855840500299033,0.008538073157249247,0.5520325786967643,0.09002033169952478,0.10510257233047124,0.008312571560493623,0.5061943939639262,0.09679000093303747,0.001,0.723638117313385,1.2615846395492554,36.05915117263794
4,0.09520362539466841,0.008179313723874126,0.5404102096997986,0.08702431171057372,0.10346121070561586,0.00820294418356535,0.5045302403093589,0.0952582667810648,0.001,0.7213460803031921,1.384800910949707,35.185813903808594
5,0.09295968040125109,0.00799619990547455,0.5339894151360786,0.08496348030333008,0.09819920209521797,0.007985421088884776,0.4947923720083654,0.09021378039360448,0.001,0.725503146648407,1.499386191368103,36.299025535583496
6,0.09148224938827504,0.00787829938297621,0.5304340412606409,0.08360395005771092,0.09973713243975985,0.007986928363289897,0.49679999512052697,0.09175020393159755,0.001,0.7258675694465637,1.5899397134780884,36.27143049240112
7,0.091179998978451,0.007926680455098539,0.5320431902639106,0.08325331865932152,0.09822329479812171,0.007906275177970278,0.4956023624449065,0.09031702076031604,0.001,0.727361261844635,1.656907558441162,36.17555856704712
8,0.08904740626656305,0.007900437592255949,0.5313255524910545,0.08114696855926927,0.09677736208043516,0.00790880553938624,0.4963363511795147,0.08886855573703846,0.001,0.7262654304504395,1.7391785383224487,36.07016444206238
9,0.08839157209079847,0.007861481397849484,0.5299245654762565,0.08053009075691862,0.09613814976831478,0.00785186464713278,0.4955562213855962,0.08828628486154055,0.001,0.7239458560943604,1.810025691986084,35.38244414329529
10,0.08788063176954636,0.007858772486620307,0.5298007295245216,0.08002185926464901,0.09518930163823996,0.007873472090346443,0.4957850649702027,0.08731582951528155,0.001,0.7242858409881592,1.8759915828704834,35.96620321273804
11,0.08679977712069582,0.00782553619163549,0.5288553313947515,0.07897424073446364,0.0993884882366015,0.007930743168123843,0.498155578057774,0.09145774459246835,0.001,0.7242667078971863,1.938925862312317,35.983107805252075
12,0.08669325500339657,0.007789406899502568,0.5273631494282645,0.07890384814031369,0.09874610154817401,0.007762843753314681,0.4903810542440575,0.09098325833013463,0.001,0.7245824933052063,2.0017080307006836,35.843992471694946
13,0.08604741572290873,0.007749962525625013,0.5261220948262648,0.07829745318337436,0.09665101299482563,0.007800249626502546,0.49185299536194466,0.08885076419208889,0.001,0.7258597612380981,2.0850906372070312,35.100263357162476
14,0.08511737455623318,0.00772192393648633,0.5251047735778457,0.07739545060012591,0.09743930501079419,0.007733403739553911,0.48964831772878115,0.08970590115772555,0.001,0.7248644828796387,2.160308361053467,35.95385432243347
15,0.08407237200875475,0.0077073081293039854,0.5245372873880131,0.07636506395659061,0.09699192311150659,0.007744039712091187,0.49179807299315326,0.08924788317144519,0.0005,0.7262099385261536,2.2321791648864746,35.83258056640625
16,0.08023944651065623,0.00755196688763937,0.5192444209412579,0.0726874795956013,0.09649281404435835,0.0076172252191914255,0.48446994734934284,0.08887558831497776,0.0005,0.7228627800941467,2.291980266571045,35.901758909225464
17,0.07910258569156625,0.007574580436166575,0.520244504345788,0.07152800521723292,0.09939626170454001,0.007681899718777198,0.48580053302174064,0.09171436208203083,0.0005,0.7175390720367432,2.335888624191284,36.921422243118286
