regime,representative,global_test_index,step,R_norm,amplitude_norm,mean_trace_error,max_trace_error,minimum_eigenvalue,negative_eigenvalue_fraction,finite
low_noise,1,99,1,11.258770942687988,33.28662872314453,1.5832483768463135e-08,1.1920928955078125e-07,-1.490665084702414e-07,0.0,True
low_noise,1,99,2,11.284058570861816,24.12872314453125,1.955777406692505e-08,1.1920928955078125e-07,-1.8595291351175547e-07,0.0,True
low_noise,1,99,3,11.29541015625,20.896976470947266,1.3504177331924438e-08,1.1920928955078125e-07,-1.7935396101620427e-07,0.0,True
low_noise,1,99,4,11.293169975280762,20.334102630615234,2.0489096641540527e-08,1.1920928955078125e-07,-1.958437962912285e-07,0.0,True
low_noise,1,99,5,11.2879056930542,18.82219123840332,1.816079020500183e-08,1.1920928955078125e-07,-1.7218141579178337e-07,0.0,True
low_noise,1,99,6,11.253952026367188,17.010656356811523,1.257285475730896e-08,1.1920928955078125e-07,-1.7523655060358578e-07,0.0,True
low_noise,1,99,7,11.23253345489502,15.503788948059082,1.257285475730896e-08,1.1920928955078125e-07,-2.567654462382052e-07,0.0,True
low_noise,1,99,8,11.212315559387207,14.252269744873047,1.4901161193847656e-08,1.1920928955078125e-07,-1.863091938503203e-07,0.0,True
low_noise,1,99,9,11.279244422912598,12.96757698059082,1.3969838619232178e-08,1.1920928955078125e-07,-1.7056653689451196e-07,0.0,True
low_noise,1,99,10,11.282910346984863,11.691194534301758,1.1641532182693481e-08,1.1920928955078125e-07,-1.283488018088974e-07,0.0,True
low_noise,1,99,11,11.312020301818848,10.420686721801758,1.5366822481155396e-08,1.1920928955078125e-07,-2.399764014171524e-07,0.0,True
low_noise,1,99,12,11.308944702148438,9.11241340637207,1.6763806343078613e-08,1.1920928955078125e-07,-2.3697180040471721e-07,0.0,True
low_noise,1,99,13,11.27710247039795,7.902587413787842,1.6298145055770874e-08,1.1920928955078125e-07,-2.307577062765631e-07,0.0,True
low_noise,1,99,14,11.269134521484375,6.877595901489258,1.3504177331924438e-08,1.1920928955078125e-07,-2.3327226017499925e-07,0.0,True
low_noise,1,99,15,11.279040336608887,6.068894863128662,1.862645149230957e-08,1.1920928955078125e-07,-1.9086361646714067e-07,0.0,True
low_noise,1,99,16,11.283407211303711,5.236235618591309,1.4435499906539917e-08,1.1920928955078125e-07,-2.3576848207085277e-07,0.0,True
low_noise,1,99,17,11.289957046508789,4.912430763244629,1.7695128917694092e-08,1.1920928955078125e-07,-2.179603484364634e-07,0.0,True
low_noise,1,99,18,11.295256614685059,4.820777893066406,1.816079020500183e-08,1.1920928955078125e-07,-2.1506791370029532e-07,0.0,True
low_noise,1,99,19,11.305695533752441,4.6976141929626465,1.3969838619232178e-08,1.1920928955078125e-07,-2.257953894968523e-07,0.0,True
low_noise,1,99,20,11.295121192932129,4.488138675689697,1.6298145055770874e-08,1.1920928955078125e-07,-1.842516041961062e-07,0.0,True
low_noise,1,99,21,11.248802185058594,4.262023448944092,1.0710209608078003e-08,1.1920928955078125e-07,-2.56231146522623e-07,0.0,True
low_noise,1,99,22,11.23666000366211,4.165815353393555,1.210719347000122e-08,1.1920928955078125e-07,-2.3056880138483393e-07,0.0,True
low_noise,1,99,23,11.238133430480957,4.171055316925049,2.0954757928848267e-08,1.1920928955078125e-07,-1.5984315382411296e-07,0.0,True
low_noise,1,99,24,11.223427772521973,4.199139595031738,1.6298145055770874e-08,1.1920928955078125e-07,-1.8514820965265244e-07,0.0,True
low_noise,1,99,25,11.225358963012695,4.296461582183838,1.909211277961731e-08,1.1920928955078125e-07,-1.520530190646241e-07,0.0,True
low_noise,1,99,26,11.2280855178833,4.398942470550537,1.257285475730896e-08,1.1920928955078125e-07,-2.0341221329545078e-07,0.0,True
low_noise,1,99,27,11.230828285217285,4.476696491241455,1.257285475730896e-08,1.1920928955078125e-07,-1.7463018764374283e-07,0.0,True
low_noise,1,99,28,11.225031852722168,4.518004894256592,1.3969838619232178e-08,1.1920928955078125e-07,-2.5672858328107395e-07,0.0,True
low_noise,1,99,29,11.219143867492676,4.53712797164917,1.30385160446167e-08,1.1920928955078125e-07,-1.925941433000844e-07,0.0,True
low_noise,1,99,30,11.22491455078125,4.564716815948486,1.7229467630386353e-08,1.1920928955078125e-07,-1.5440437550751085e-07,0.0,True
low_noise,1,99,31,11.241842269897461,4.613450527191162,1.3969838619232178e-08,1.1920928955078125e-07,-1.1142422806642571e-07,0.0,True
low_noise,1,99,32,11.25167179107666,4.6682586669921875,1.210719347000122e-08,1.1920928955078125e-07,-2.177058036068047e-07,0.0,True
low_noise,1,99,33,11.242576599121094,4.708972454071045,1.7695128917694092e-08,1.1920928955078125e-07,-2.4328519998562115e-07,0.0,True
low_noise,1,99,34,11.22654914855957,4.724510669708252,1.5832483768463135e-08,1.1920928955078125e-07,-2.0743956952173903e-07,0.0,True
low_noise,1,99,35,11.207773208618164,4.717878818511963,1.816079020500183e-08,1.1920928955078125e-07,-1.6172823791293922e-07,0.0,True
low_noise,1,99,36,11.185991287231445,4.692785263061523,1.862645149230957e-08,1.1920928955078125e-07,-1.7075034008939838e-07,0.0,True
low_noise,1,99,37,11.157520294189453,4.655498504638672,1.30385160446167e-08,1.1920928955078125e-07,-1.8379333255325037e-07,0.0,True
low_noise,1,99,38,11.116033554077148,4.612534523010254,1.1641532182693481e-08,1.1920928955078125e-07,-1.594481346955945e-07,0.0,True
low_noise,1,99,39,11.068115234375,4.567344665527344,1.955777406692505e-08,1.1920928955078125e-07,-2.111676309368704e-07,0.0,True
low_noise,1,99,40,11.025102615356445,4.517261981964111,1.862645149230957e-08,1.1920928955078125e-07,-1.958159430159867e-07,0.0,True
low_noise,1,99,41,10.997733116149902,4.446897029876709,1.210719347000122e-08,1.1920928955078125e-07,-1.4078311494358786e-07,0.0,True
low_noise,1,99,42,10.967239379882812,4.337230682373047,1.6298145055770874e-08,1.1920928955078125e-07,-1.4998059327808733e-07,0.0,True
low_noise,1,99,43,10.96154499053955,4.197970867156982,1.6763806343078613e-08,1.1920928955078125e-07,-1.3021352174291678e-07,0.0,True
low_noise,1,99,44,11.035759925842285,4.042984962463379,2.0954757928848267e-08,1.1920928955078125e-07,-1.78516785354077e-07,0.0,True
low_noise,1,99,45,11.147006034851074,3.874591112136841,1.816079020500183e-08,1.1920928955078125e-07,-1.646305776148438e-07,0.0,True
low_noise,1,99,46,11.283074378967285,3.6985585689544678,2.0954757928848267e-08,1.1920928955078125e-07,-1.9549219132386497e-07,0.0,True
low_noise,1,99,47,11.313706398010254,3.5343222618103027,2.1886080503463745e-08,1.1920928955078125e-07,-1.276442276321177e-07,0.0,True
low_noise,1,99,48,11.31370735168457,3.428995132446289,2.60770320892334e-08,1.1920928955078125e-07,-1.3840681845067593e-07,0.0,True
low_noise,1,99,49,11.313708305358887,3.364201307296753,2.3748725652694702e-08,1.1920928955078125e-07,-1.8435598292398936e-07,0.0,True
low_noise,1,99,50,11.313708305358887,3.3147177696228027,2.421438694000244e-08,1.1920928955078125e-07,-1.6565002169954823e-07,0.0,True
low_noise,1,99,51,11.313708305358887,3.2715654373168945,2.2817403078079224e-08,1.1920928955078125e-07,-1.2881044142432074e-07,0.0,True
low_noise,1,99,52,11.313708305358887,3.2322583198547363,2.421438694000244e-08,1.1920928955078125e-07,-1.430844349670224e-07,0.0,True
low_noise,1,99,53,11.31370735168457,3.196587324142456,2.1886080503463745e-08,1.1920928955078125e-07,-1.5397353081425535e-07,0.0,True
low_noise,1,99,54,11.313708305358887,3.1647965908050537,2.0489096641540527e-08,1.1920928955078125e-07,-1.7450898326387687e-07,0.0,True
low_noise,1,99,55,11.313708305358887,3.1369664669036865,2.2351741790771484e-08,1.1920928955078125e-07,-1.568205050261895e-07,0.0,True
low_noise,1,99,56,11.31371021270752,3.1129212379455566,2.0954757928848267e-08,1.1920928955078125e-07,-1.3721667357913248e-07,0.0,True
low_noise,1,99,57,11.31371021270752,3.0923070907592773,2.7008354663848877e-08,1.1920928955078125e-07,-1.5211267623271851e-07,0.0,True
low_noise,1,99,58,11.313709259033203,3.074688196182251,2.1886080503463745e-08,1.1920928955078125e-07,-1.3828450562414218e-07,0.0,True
low_noise,1,99,59,11.313708305358887,3.0596208572387695,2.1420419216156006e-08,1.1920928955078125e-07,-1.5141344533731171e-07,0.0,True
low_noise,1,99,60,11.31371021270752,3.046692132949829,2.3748725652694702e-08,1.1920928955078125e-07,-1.5031339728466264e-07,0.0,True
