regime,timestep,gamma,noise_sigma,trajectory_length,spatial_points,information_dimension,reference_gamma,representation,environment_conditioned
low_noise,0,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,1,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,2,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,3,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,4,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,5,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,6,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,7,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,8,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,9,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,10,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,11,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,12,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,13,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,14,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,15,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,16,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,17,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,18,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,19,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,20,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,21,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,22,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,23,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,24,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,25,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,26,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,27,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,28,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,29,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,30,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,31,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,32,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,33,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,34,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,35,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,36,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,37,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,38,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,39,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,40,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,41,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,42,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,43,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,44,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,45,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,46,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,47,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,48,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,49,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,50,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,51,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,52,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,53,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,54,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,55,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,56,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,57,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,58,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,59,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,60,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,61,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,62,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,63,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,64,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,65,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,66,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,67,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,68,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,69,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,70,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,71,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,72,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,73,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,74,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,75,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,76,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,77,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,78,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,79,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,80,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,81,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,82,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,83,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,84,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
