dataset_index,regime,timestep,split,gamma,noise_sigma
297,collapse,0,train,0.5,0.65
298,collapse,1,train,0.5,0.65
299,collapse,2,train,0.5,0.65
300,collapse,3,train,0.5,0.65
301,collapse,4,train,0.5,0.65
302,collapse,5,train,0.5,0.65
303,collapse,6,train,0.5,0.65
304,collapse,7,train,0.5,0.65
305,collapse,8,train,0.5,0.65
306,collapse,9,train,0.5,0.65
307,collapse,10,train,0.5,0.65
308,collapse,11,train,0.5,0.65
309,collapse,12,train,0.5,0.65
310,collapse,13,train,0.5,0.65
311,collapse,14,train,0.5,0.65
312,collapse,15,train,0.5,0.65
313,collapse,16,train,0.5,0.65
314,collapse,17,train,0.5,0.65
315,collapse,18,train,0.5,0.65
316,collapse,19,train,0.5,0.65
317,collapse,20,train,0.5,0.65
318,collapse,21,train,0.5,0.65
319,collapse,22,train,0.5,0.65
320,collapse,23,train,0.5,0.65
321,collapse,24,train,0.5,0.65
322,collapse,25,train,0.5,0.65
323,collapse,26,train,0.5,0.65
324,collapse,27,train,0.5,0.65
325,collapse,28,train,0.5,0.65
326,collapse,29,train,0.5,0.65
327,collapse,30,train,0.5,0.65
328,collapse,31,train,0.5,0.65
329,collapse,32,train,0.5,0.65
330,collapse,33,train,0.5,0.65
331,collapse,34,train,0.5,0.65
332,collapse,35,train,0.5,0.65
333,collapse,36,train,0.5,0.65
334,collapse,37,train,0.5,0.65
335,collapse,38,train,0.5,0.65
336,collapse,39,train,0.5,0.65
337,collapse,40,train,0.5,0.65
338,collapse,41,train,0.5,0.65
339,collapse,42,train,0.5,0.65
340,collapse,43,train,0.5,0.65
341,collapse,44,train,0.5,0.65
342,collapse,45,train,0.5,0.65
343,collapse,46,train,0.5,0.65
344,collapse,47,train,0.5,0.65
345,collapse,48,train,0.5,0.65
346,collapse,49,train,0.5,0.65
347,collapse,50,train,0.5,0.65
348,collapse,51,train,0.5,0.65
349,collapse,52,train,0.5,0.65
350,collapse,53,train,0.5,0.65
351,collapse,54,train,0.5,0.65
352,collapse,55,train,0.5,0.65
