dataset_index,trajectory_id,regime,trajectory_index,timestep,noise_seed,gamma,noise_sigma,reference_gamma,spatial_points,information_dimension
0,low_noise_000,low_noise,0,0,150000,0.01,0.02,0.0,128,6
1,low_noise_000,low_noise,0,1,150000,0.01,0.02,0.0,128,6
2,low_noise_000,low_noise,0,2,150000,0.01,0.02,0.0,128,6
3,low_noise_000,low_noise,0,3,150000,0.01,0.02,0.0,128,6
4,low_noise_000,low_noise,0,4,150000,0.01,0.02,0.0,128,6
5,low_noise_000,low_noise,0,5,150000,0.01,0.02,0.0,128,6
6,low_noise_000,low_noise,0,6,150000,0.01,0.02,0.0,128,6
7,low_noise_000,low_noise,0,7,150000,0.01,0.02,0.0,128,6
8,low_noise_000,low_noise,0,8,150000,0.01,0.02,0.0,128,6
9,low_noise_000,low_noise,0,9,150000,0.01,0.02,0.0,128,6
10,low_noise_000,low_noise,0,10,150000,0.01,0.02,0.0,128,6
11,low_noise_000,low_noise,0,11,150000,0.01,0.02,0.0,128,6
12,low_noise_000,low_noise,0,12,150000,0.01,0.02,0.0,128,6
13,low_noise_000,low_noise,0,13,150000,0.01,0.02,0.0,128,6
14,low_noise_000,low_noise,0,14,150000,0.01,0.02,0.0,128,6
15,low_noise_000,low_noise,0,15,150000,0.01,0.02,0.0,128,6
16,low_noise_000,low_noise,0,16,150000,0.01,0.02,0.0,128,6
17,low_noise_000,low_noise,0,17,150000,0.01,0.02,0.0,128,6
18,low_noise_000,low_noise,0,18,150000,0.01,0.02,0.0,128,6
19,low_noise_000,low_noise,0,19,150000,0.01,0.02,0.0,128,6
20,low_noise_000,low_noise,0,20,150000,0.01,0.02,0.0,128,6
21,low_noise_000,low_noise,0,21,150000,0.01,0.02,0.0,128,6
22,low_noise_000,low_noise,0,22,150000,0.01,0.02,0.0,128,6
23,low_noise_000,low_noise,0,23,150000,0.01,0.02,0.0,128,6
24,low_noise_000,low_noise,0,24,150000,0.01,0.02,0.0,128,6
25,low_noise_000,low_noise,0,25,150000,0.01,0.02,0.0,128,6
26,low_noise_000,low_noise,0,26,150000,0.01,0.02,0.0,128,6
27,low_noise_000,low_noise,0,27,150000,0.01,0.02,0.0,128,6
28,low_noise_000,low_noise,0,28,150000,0.01,0.02,0.0,128,6
29,low_noise_000,low_noise,0,29,150000,0.01,0.02,0.0,128,6
30,low_noise_000,low_noise,0,30,150000,0.01,0.02,0.0,128,6
31,low_noise_000,low_noise,0,31,150000,0.01,0.02,0.0,128,6
32,low_noise_000,low_noise,0,32,150000,0.01,0.02,0.0,128,6
33,low_noise_000,low_noise,0,33,150000,0.01,0.02,0.0,128,6
34,low_noise_000,low_noise,0,34,150000,0.01,0.02,0.0,128,6
35,low_noise_000,low_noise,0,35,150000,0.01,0.02,0.0,128,6
36,low_noise_000,low_noise,0,36,150000,0.01,0.02,0.0,128,6
37,low_noise_000,low_noise,0,37,150000,0.01,0.02,0.0,128,6
38,low_noise_000,low_noise,0,38,150000,0.01,0.02,0.0,128,6
39,low_noise_000,low_noise,0,39,150000,0.01,0.02,0.0,128,6
40,low_noise_000,low_noise,0,40,150000,0.01,0.02,0.0,128,6
41,low_noise_000,low_noise,0,41,150000,0.01,0.02,0.0,128,6
42,low_noise_000,low_noise,0,42,150000,0.01,0.02,0.0,128,6
43,low_noise_000,low_noise,0,43,150000,0.01,0.02,0.0,128,6
44,low_noise_000,low_noise,0,44,150000,0.01,0.02,0.0,128,6
45,low_noise_000,low_noise,0,45,150000,0.01,0.02,0.0,128,6
46,low_noise_000,low_noise,0,46,150000,0.01,0.02,0.0,128,6
47,low_noise_000,low_noise,0,47,150000,0.01,0.02,0.0,128,6
48,low_noise_000,low_noise,0,48,150000,0.01,0.02,0.0,128,6
49,low_noise_000,low_noise,0,49,150000,0.01,0.02,0.0,128,6
50,low_noise_000,low_noise,0,50,150000,0.01,0.02,0.0,128,6
51,low_noise_000,low_noise,0,51,150000,0.01,0.02,0.0,128,6
52,low_noise_000,low_noise,0,52,150000,0.01,0.02,0.0,128,6
53,low_noise_000,low_noise,0,53,150000,0.01,0.02,0.0,128,6
54,low_noise_000,low_noise,0,54,150000,0.01,0.02,0.0,128,6
55,low_noise_000,low_noise,0,55,150000,0.01,0.02,0.0,128,6
56,low_noise_000,low_noise,0,56,150000,0.01,0.02,0.0,128,6
57,low_noise_000,low_noise,0,57,150000,0.01,0.02,0.0,128,6
58,low_noise_000,low_noise,0,58,150000,0.01,0.02,0.0,128,6
59,low_noise_000,low_noise,0,59,150000,0.01,0.02,0.0,128,6
60,low_noise_000,low_noise,0,60,150000,0.01,0.02,0.0,128,6
61,low_noise_000,low_noise,0,61,150000,0.01,0.02,0.0,128,6
62,low_noise_000,low_noise,0,62,150000,0.01,0.02,0.0,128,6
63,low_noise_000,low_noise,0,63,150000,0.01,0.02,0.0,128,6
64,low_noise_000,low_noise,0,64,150000,0.01,0.02,0.0,128,6
65,low_noise_000,low_noise,0,65,150000,0.01,0.02,0.0,128,6
66,low_noise_000,low_noise,0,66,150000,0.01,0.02,0.0,128,6
67,low_noise_000,low_noise,0,67,150000,0.01,0.02,0.0,128,6
68,low_noise_000,low_noise,0,68,150000,0.01,0.02,0.0,128,6
69,low_noise_000,low_noise,0,69,150000,0.01,0.02,0.0,128,6
70,low_noise_000,low_noise,0,70,150000,0.01,0.02,0.0,128,6
71,low_noise_000,low_noise,0,71,150000,0.01,0.02,0.0,128,6
72,low_noise_000,low_noise,0,72,150000,0.01,0.02,0.0,128,6
73,low_noise_000,low_noise,0,73,150000,0.01,0.02,0.0,128,6
74,low_noise_000,low_noise,0,74,150000,0.01,0.02,0.0,128,6
75,low_noise_000,low_noise,0,75,150000,0.01,0.02,0.0,128,6
76,low_noise_000,low_noise,0,76,150000,0.01,0.02,0.0,128,6
77,low_noise_000,low_noise,0,77,150000,0.01,0.02,0.0,128,6
78,low_noise_000,low_noise,0,78,150000,0.01,0.02,0.0,128,6
79,low_noise_000,low_noise,0,79,150000,0.01,0.02,0.0,128,6
80,low_noise_000,low_noise,0,80,150000,0.01,0.02,0.0,128,6
81,low_noise_000,low_noise,0,81,150000,0.01,0.02,0.0,128,6
82,low_noise_000,low_noise,0,82,150000,0.01,0.02,0.0,128,6
83,low_noise_000,low_noise,0,83,150000,0.01,0.02,0.0,128,6
84,low_noise_000,low_noise,0,84,150000,0.01,0.02,0.0,128,6
85,low_noise_000,low_noise,0,85,150000,0.01,0.02,0.0,128,6
86,low_noise_000,low_noise,0,86,150000,0.01,0.02,0.0,128,6
87,low_noise_000,low_noise,0,87,150000,0.01,0.02,0.0,128,6
88,low_noise_000,low_noise,0,88,150000,0.01,0.02,0.0,128,6
89,low_noise_000,low_noise,0,89,150000,0.01,0.02,0.0,128,6
90,low_noise_000,low_noise,0,90,150000,0.01,0.02,0.0,128,6
91,low_noise_000,low_noise,0,91,150000,0.01,0.02,0.0,128,6
92,low_noise_000,low_noise,0,92,150000,0.01,0.02,0.0,128,6
93,low_noise_000,low_noise,0,93,150000,0.01,0.02,0.0,128,6
94,low_noise_000,low_noise,0,94,150000,0.01,0.02,0.0,128,6
95,low_noise_000,low_noise,0,95,150000,0.01,0.02,0.0,128,6
96,low_noise_000,low_noise,0,96,150000,0.01,0.02,0.0,128,6
97,low_noise_000,low_noise,0,97,150000,0.01,0.02,0.0,128,6
98,low_noise_000,low_noise,0,98,150000,0.01,0.02,0.0,128,6
99,low_noise_001,low_noise,1,0,150001,0.01,0.02,0.0,128,6
100,low_noise_001,low_noise,1,1,150001,0.01,0.02,0.0,128,6
101,low_noise_001,low_noise,1,2,150001,0.01,0.02,0.0,128,6
102,low_noise_001,low_noise,1,3,150001,0.01,0.02,0.0,128,6
103,low_noise_001,low_noise,1,4,150001,0.01,0.02,0.0,128,6
104,low_noise_001,low_noise,1,5,150001,0.01,0.02,0.0,128,6
105,low_noise_001,low_noise,1,6,150001,0.01,0.02,0.0,128,6
106,low_noise_001,low_noise,1,7,150001,0.01,0.02,0.0,128,6
107,low_noise_001,low_noise,1,8,150001,0.01,0.02,0.0,128,6
108,low_noise_001,low_noise,1,9,150001,0.01,0.02,0.0,128,6
109,low_noise_001,low_noise,1,10,150001,0.01,0.02,0.0,128,6
110,low_noise_001,low_noise,1,11,150001,0.01,0.02,0.0,128,6
111,low_noise_001,low_noise,1,12,150001,0.01,0.02,0.0,128,6
112,low_noise_001,low_noise,1,13,150001,0.01,0.02,0.0,128,6
113,low_noise_001,low_noise,1,14,150001,0.01,0.02,0.0,128,6
114,low_noise_001,low_noise,1,15,150001,0.01,0.02,0.0,128,6
115,low_noise_001,low_noise,1,16,150001,0.01,0.02,0.0,128,6
116,low_noise_001,low_noise,1,17,150001,0.01,0.02,0.0,128,6
117,low_noise_001,low_noise,1,18,150001,0.01,0.02,0.0,128,6
118,low_noise_001,low_noise,1,19,150001,0.01,0.02,0.0,128,6
119,low_noise_001,low_noise,1,20,150001,0.01,0.02,0.0,128,6
120,low_noise_001,low_noise,1,21,150001,0.01,0.02,0.0,128,6
121,low_noise_001,low_noise,1,22,150001,0.01,0.02,0.0,128,6
122,low_noise_001,low_noise,1,23,150001,0.01,0.02,0.0,128,6
123,low_noise_001,low_noise,1,24,150001,0.01,0.02,0.0,128,6
124,low_noise_001,low_noise,1,25,150001,0.01,0.02,0.0,128,6
125,low_noise_001,low_noise,1,26,150001,0.01,0.02,0.0,128,6
126,low_noise_001,low_noise,1,27,150001,0.01,0.02,0.0,128,6
127,low_noise_001,low_noise,1,28,150001,0.01,0.02,0.0,128,6
128,low_noise_001,low_noise,1,29,150001,0.01,0.02,0.0,128,6
129,low_noise_001,low_noise,1,30,150001,0.01,0.02,0.0,128,6
130,low_noise_001,low_noise,1,31,150001,0.01,0.02,0.0,128,6
131,low_noise_001,low_noise,1,32,150001,0.01,0.02,0.0,128,6
132,low_noise_001,low_noise,1,33,150001,0.01,0.02,0.0,128,6
133,low_noise_001,low_noise,1,34,150001,0.01,0.02,0.0,128,6
134,low_noise_001,low_noise,1,35,150001,0.01,0.02,0.0,128,6
135,low_noise_001,low_noise,1,36,150001,0.01,0.02,0.0,128,6
136,low_noise_001,low_noise,1,37,150001,0.01,0.02,0.0,128,6
137,low_noise_001,low_noise,1,38,150001,0.01,0.02,0.0,128,6
138,low_noise_001,low_noise,1,39,150001,0.01,0.02,0.0,128,6
139,low_noise_001,low_noise,1,40,150001,0.01,0.02,0.0,128,6
140,low_noise_001,low_noise,1,41,150001,0.01,0.02,0.0,128,6
141,low_noise_001,low_noise,1,42,150001,0.01,0.02,0.0,128,6
142,low_noise_001,low_noise,1,43,150001,0.01,0.02,0.0,128,6
143,low_noise_001,low_noise,1,44,150001,0.01,0.02,0.0,128,6
144,low_noise_001,low_noise,1,45,150001,0.01,0.02,0.0,128,6
145,low_noise_001,low_noise,1,46,150001,0.01,0.02,0.0,128,6
146,low_noise_001,low_noise,1,47,150001,0.01,0.02,0.0,128,6
147,low_noise_001,low_noise,1,48,150001,0.01,0.02,0.0,128,6
148,low_noise_001,low_noise,1,49,150001,0.01,0.02,0.0,128,6
149,low_noise_001,low_noise,1,50,150001,0.01,0.02,0.0,128,6
150,low_noise_001,low_noise,1,51,150001,0.01,0.02,0.0,128,6
151,low_noise_001,low_noise,1,52,150001,0.01,0.02,0.0,128,6
152,low_noise_001,low_noise,1,53,150001,0.01,0.02,0.0,128,6
153,low_noise_001,low_noise,1,54,150001,0.01,0.02,0.0,128,6
154,low_noise_001,low_noise,1,55,150001,0.01,0.02,0.0,128,6
155,low_noise_001,low_noise,1,56,150001,0.01,0.02,0.0,128,6
156,low_noise_001,low_noise,1,57,150001,0.01,0.02,0.0,128,6
157,low_noise_001,low_noise,1,58,150001,0.01,0.02,0.0,128,6
158,low_noise_001,low_noise,1,59,150001,0.01,0.02,0.0,128,6
159,low_noise_001,low_noise,1,60,150001,0.01,0.02,0.0,128,6
160,low_noise_001,low_noise,1,61,150001,0.01,0.02,0.0,128,6
161,low_noise_001,low_noise,1,62,150001,0.01,0.02,0.0,128,6
162,low_noise_001,low_noise,1,63,150001,0.01,0.02,0.0,128,6
163,low_noise_001,low_noise,1,64,150001,0.01,0.02,0.0,128,6
164,low_noise_001,low_noise,1,65,150001,0.01,0.02,0.0,128,6
165,low_noise_001,low_noise,1,66,150001,0.01,0.02,0.0,128,6
166,low_noise_001,low_noise,1,67,150001,0.01,0.02,0.0,128,6
167,low_noise_001,low_noise,1,68,150001,0.01,0.02,0.0,128,6
168,low_noise_001,low_noise,1,69,150001,0.01,0.02,0.0,128,6
169,low_noise_001,low_noise,1,70,150001,0.01,0.02,0.0,128,6
170,low_noise_001,low_noise,1,71,150001,0.01,0.02,0.0,128,6
171,low_noise_001,low_noise,1,72,150001,0.01,0.02,0.0,128,6
172,low_noise_001,low_noise,1,73,150001,0.01,0.02,0.0,128,6
173,low_noise_001,low_noise,1,74,150001,0.01,0.02,0.0,128,6
174,low_noise_001,low_noise,1,75,150001,0.01,0.02,0.0,128,6
175,low_noise_001,low_noise,1,76,150001,0.01,0.02,0.0,128,6
176,low_noise_001,low_noise,1,77,150001,0.01,0.02,0.0,128,6
