trajectory_id,regime,trajectory_index,noise_seed,noise_sigma,open_gamma,reference_gamma,timesteps,spatial_points,paired_noise_max_error
low_noise_000,low_noise,0,150000,0.02,0.01,0.0,100,128,0.0
low_noise_001,low_noise,1,150001,0.02,0.01,0.0,100,128,0.0
low_noise_002,low_noise,2,150002,0.02,0.01,0.0,100,128,0.0
low_noise_003,low_noise,3,150003,0.02,0.01,0.0,100,128,0.0
low_noise_004,low_noise,4,150004,0.02,0.01,0.0,100,128,0.0
low_noise_005,low_noise,5,150005,0.02,0.01,0.0,100,128,0.0
low_noise_006,low_noise,6,150006,0.02,0.01,0.0,100,128,0.0
low_noise_007,low_noise,7,150007,0.02,0.01,0.0,100,128,0.0
low_noise_008,low_noise,8,150008,0.02,0.01,0.0,100,128,0.0
low_noise_009,low_noise,9,150009,0.02,0.01,0.0,100,128,0.0
low_noise_010,low_noise,10,150010,0.02,0.01,0.0,100,128,0.0
low_noise_011,low_noise,11,150011,0.02,0.01,0.0,100,128,0.0
low_noise_012,low_noise,12,150012,0.02,0.01,0.0,100,128,0.0
low_noise_013,low_noise,13,150013,0.02,0.01,0.0,100,128,0.0
low_noise_014,low_noise,14,150014,0.02,0.01,0.0,100,128,0.0
low_noise_015,low_noise,15,150015,0.02,0.01,0.0,100,128,0.0
low_noise_016,low_noise,16,150016,0.02,0.01,0.0,100,128,0.0
low_noise_017,low_noise,17,150017,0.02,0.01,0.0,100,128,0.0
low_noise_018,low_noise,18,150018,0.02,0.01,0.0,100,128,0.0
low_noise_019,low_noise,19,150019,0.02,0.01,0.0,100,128,0.0
stochastic_000,stochastic,0,150020,0.45,0.05,0.0,100,128,0.0
stochastic_001,stochastic,1,150021,0.45,0.05,0.0,100,128,0.0
stochastic_002,stochastic,2,150022,0.45,0.05,0.0,100,128,0.0
stochastic_003,stochastic,3,150023,0.45,0.05,0.0,100,128,0.0
stochastic_004,stochastic,4,150024,0.45,0.05,0.0,100,128,0.0
stochastic_005,stochastic,5,150025,0.45,0.05,0.0,100,128,0.0
stochastic_006,stochastic,6,150026,0.45,0.05,0.0,100,128,0.0
stochastic_007,stochastic,7,150027,0.45,0.05,0.0,100,128,0.0
stochastic_008,stochastic,8,150028,0.45,0.05,0.0,100,128,0.0
stochastic_009,stochastic,9,150029,0.45,0.05,0.0,100,128,0.0
stochastic_010,stochastic,10,150030,0.45,0.05,0.0,100,128,0.0
stochastic_011,stochastic,11,150031,0.45,0.05,0.0,100,128,0.0
stochastic_012,stochastic,12,150032,0.45,0.05,0.0,100,128,0.0
stochastic_013,stochastic,13,150033,0.45,0.05,0.0,100,128,0.0
stochastic_014,stochastic,14,150034,0.45,0.05,0.0,100,128,0.0
stochastic_015,stochastic,15,150035,0.45,0.05,0.0,100,128,0.0
stochastic_016,stochastic,16,150036,0.45,0.05,0.0,100,128,0.0
stochastic_017,stochastic,17,150037,0.45,0.05,0.0,100,128,0.0
stochastic_018,stochastic,18,150038,0.45,0.05,0.0,100,128,0.0
stochastic_019,stochastic,19,150039,0.45,0.05,0.0,100,128,0.0
heavy_dissipation_000,heavy_dissipation,0,150040,0.15,0.35,0.0,100,128,0.0
