trajectory_id,regime,trajectory_index,gamma,noise_sigma,noise_seed,split
low_noise_000,low_noise,0,0.01,0.02,150000,train
low_noise_001,low_noise,1,0.01,0.02,150001,test
low_noise_002,low_noise,2,0.01,0.02,150002,train
low_noise_003,low_noise,3,0.01,0.02,150003,train
low_noise_004,low_noise,4,0.01,0.02,150004,train
low_noise_005,low_noise,5,0.01,0.02,150005,train
low_noise_006,low_noise,6,0.01,0.02,150006,validation
low_noise_007,low_noise,7,0.01,0.02,150007,test
low_noise_008,low_noise,8,0.01,0.02,150008,train
low_noise_009,low_noise,9,0.01,0.02,150009,test
low_noise_010,low_noise,10,0.01,0.02,150010,train
low_noise_011,low_noise,11,0.01,0.02,150011,train
low_noise_012,low_noise,12,0.01,0.02,150012,train
low_noise_013,low_noise,13,0.01,0.02,150013,train
low_noise_014,low_noise,14,0.01,0.02,150014,train
low_noise_015,low_noise,15,0.01,0.02,150015,validation
low_noise_016,low_noise,16,0.01,0.02,150016,train
low_noise_017,low_noise,17,0.01,0.02,150017,train
low_noise_018,low_noise,18,0.01,0.02,150018,validation
low_noise_019,low_noise,19,0.01,0.02,150019,train
stochastic_000,stochastic,0,0.05,0.45,150020,train
stochastic_001,stochastic,1,0.05,0.45,150021,train
stochastic_002,stochastic,2,0.05,0.45,150022,train
stochastic_003,stochastic,3,0.05,0.45,150023,train
stochastic_004,stochastic,4,0.05,0.45,150024,train
stochastic_005,stochastic,5,0.05,0.45,150025,train
stochastic_006,stochastic,6,0.05,0.45,150026,train
stochastic_007,stochastic,7,0.05,0.45,150027,train
stochastic_008,stochastic,8,0.05,0.45,150028,train
stochastic_009,stochastic,9,0.05,0.45,150029,train
stochastic_010,stochastic,10,0.05,0.45,150030,train
stochastic_011,stochastic,11,0.05,0.45,150031,validation
stochastic_012,stochastic,12,0.05,0.45,150032,validation
stochastic_013,stochastic,13,0.05,0.45,150033,test
stochastic_014,stochastic,14,0.05,0.45,150034,train
stochastic_015,stochastic,15,0.05,0.45,150035,train
stochastic_016,stochastic,16,0.05,0.45,150036,test
stochastic_017,stochastic,17,0.05,0.45,150037,test
stochastic_018,stochastic,18,0.05,0.45,150038,validation
stochastic_019,stochastic,19,0.05,0.45,150039,train
heavy_dissipation_000,heavy_dissipation,0,0.35,0.15,150040,train
