dataset_index,trajectory_id,regime,trajectory_index,timestep,noise_seed,gamma,noise_sigma,reference_gamma,spatial_points,information_dimension,split
0,low_noise_000,low_noise,0,0,150000,0.01,0.02,0.0,128,6,train
1,low_noise_000,low_noise,0,1,150000,0.01,0.02,0.0,128,6,train
2,low_noise_000,low_noise,0,2,150000,0.01,0.02,0.0,128,6,train
3,low_noise_000,low_noise,0,3,150000,0.01,0.02,0.0,128,6,train
4,low_noise_000,low_noise,0,4,150000,0.01,0.02,0.0,128,6,train
5,low_noise_000,low_noise,0,5,150000,0.01,0.02,0.0,128,6,train
6,low_noise_000,low_noise,0,6,150000,0.01,0.02,0.0,128,6,train
7,low_noise_000,low_noise,0,7,150000,0.01,0.02,0.0,128,6,train
8,low_noise_000,low_noise,0,8,150000,0.01,0.02,0.0,128,6,train
9,low_noise_000,low_noise,0,9,150000,0.01,0.02,0.0,128,6,train
10,low_noise_000,low_noise,0,10,150000,0.01,0.02,0.0,128,6,train
11,low_noise_000,low_noise,0,11,150000,0.01,0.02,0.0,128,6,train
12,low_noise_000,low_noise,0,12,150000,0.01,0.02,0.0,128,6,train
13,low_noise_000,low_noise,0,13,150000,0.01,0.02,0.0,128,6,train
14,low_noise_000,low_noise,0,14,150000,0.01,0.02,0.0,128,6,train
15,low_noise_000,low_noise,0,15,150000,0.01,0.02,0.0,128,6,train
16,low_noise_000,low_noise,0,16,150000,0.01,0.02,0.0,128,6,train
17,low_noise_000,low_noise,0,17,150000,0.01,0.02,0.0,128,6,train
18,low_noise_000,low_noise,0,18,150000,0.01,0.02,0.0,128,6,train
19,low_noise_000,low_noise,0,19,150000,0.01,0.02,0.0,128,6,train
20,low_noise_000,low_noise,0,20,150000,0.01,0.02,0.0,128,6,train
21,low_noise_000,low_noise,0,21,150000,0.01,0.02,0.0,128,6,train
22,low_noise_000,low_noise,0,22,150000,0.01,0.02,0.0,128,6,train
23,low_noise_000,low_noise,0,23,150000,0.01,0.02,0.0,128,6,train
24,low_noise_000,low_noise,0,24,150000,0.01,0.02,0.0,128,6,train
25,low_noise_000,low_noise,0,25,150000,0.01,0.02,0.0,128,6,train
26,low_noise_000,low_noise,0,26,150000,0.01,0.02,0.0,128,6,train
27,low_noise_000,low_noise,0,27,150000,0.01,0.02,0.0,128,6,train
28,low_noise_000,low_noise,0,28,150000,0.01,0.02,0.0,128,6,train
29,low_noise_000,low_noise,0,29,150000,0.01,0.02,0.0,128,6,train
30,low_noise_000,low_noise,0,30,150000,0.01,0.02,0.0,128,6,train
31,low_noise_000,low_noise,0,31,150000,0.01,0.02,0.0,128,6,train
32,low_noise_000,low_noise,0,32,150000,0.01,0.02,0.0,128,6,train
33,low_noise_000,low_noise,0,33,150000,0.01,0.02,0.0,128,6,train
34,low_noise_000,low_noise,0,34,150000,0.01,0.02,0.0,128,6,train
35,low_noise_000,low_noise,0,35,150000,0.01,0.02,0.0,128,6,train
36,low_noise_000,low_noise,0,36,150000,0.01,0.02,0.0,128,6,train
37,low_noise_000,low_noise,0,37,150000,0.01,0.02,0.0,128,6,train
38,low_noise_000,low_noise,0,38,150000,0.01,0.02,0.0,128,6,train
39,low_noise_000,low_noise,0,39,150000,0.01,0.02,0.0,128,6,train
40,low_noise_000,low_noise,0,40,150000,0.01,0.02,0.0,128,6,train
41,low_noise_000,low_noise,0,41,150000,0.01,0.02,0.0,128,6,train
42,low_noise_000,low_noise,0,42,150000,0.01,0.02,0.0,128,6,train
43,low_noise_000,low_noise,0,43,150000,0.01,0.02,0.0,128,6,train
44,low_noise_000,low_noise,0,44,150000,0.01,0.02,0.0,128,6,train
45,low_noise_000,low_noise,0,45,150000,0.01,0.02,0.0,128,6,train
46,low_noise_000,low_noise,0,46,150000,0.01,0.02,0.0,128,6,train
47,low_noise_000,low_noise,0,47,150000,0.01,0.02,0.0,128,6,train
48,low_noise_000,low_noise,0,48,150000,0.01,0.02,0.0,128,6,train
49,low_noise_000,low_noise,0,49,150000,0.01,0.02,0.0,128,6,train
50,low_noise_000,low_noise,0,50,150000,0.01,0.02,0.0,128,6,train
51,low_noise_000,low_noise,0,51,150000,0.01,0.02,0.0,128,6,train
52,low_noise_000,low_noise,0,52,150000,0.01,0.02,0.0,128,6,train
53,low_noise_000,low_noise,0,53,150000,0.01,0.02,0.0,128,6,train
54,low_noise_000,low_noise,0,54,150000,0.01,0.02,0.0,128,6,train
55,low_noise_000,low_noise,0,55,150000,0.01,0.02,0.0,128,6,train
56,low_noise_000,low_noise,0,56,150000,0.01,0.02,0.0,128,6,train
57,low_noise_000,low_noise,0,57,150000,0.01,0.02,0.0,128,6,train
58,low_noise_000,low_noise,0,58,150000,0.01,0.02,0.0,128,6,train
59,low_noise_000,low_noise,0,59,150000,0.01,0.02,0.0,128,6,train
60,low_noise_000,low_noise,0,60,150000,0.01,0.02,0.0,128,6,train
61,low_noise_000,low_noise,0,61,150000,0.01,0.02,0.0,128,6,train
62,low_noise_000,low_noise,0,62,150000,0.01,0.02,0.0,128,6,train
63,low_noise_000,low_noise,0,63,150000,0.01,0.02,0.0,128,6,train
64,low_noise_000,low_noise,0,64,150000,0.01,0.02,0.0,128,6,train
65,low_noise_000,low_noise,0,65,150000,0.01,0.02,0.0,128,6,train
66,low_noise_000,low_noise,0,66,150000,0.01,0.02,0.0,128,6,train
67,low_noise_000,low_noise,0,67,150000,0.01,0.02,0.0,128,6,train
68,low_noise_000,low_noise,0,68,150000,0.01,0.02,0.0,128,6,train
69,low_noise_000,low_noise,0,69,150000,0.01,0.02,0.0,128,6,train
70,low_noise_000,low_noise,0,70,150000,0.01,0.02,0.0,128,6,train
71,low_noise_000,low_noise,0,71,150000,0.01,0.02,0.0,128,6,train
72,low_noise_000,low_noise,0,72,150000,0.01,0.02,0.0,128,6,train
73,low_noise_000,low_noise,0,73,150000,0.01,0.02,0.0,128,6,train
74,low_noise_000,low_noise,0,74,150000,0.01,0.02,0.0,128,6,train
75,low_noise_000,low_noise,0,75,150000,0.01,0.02,0.0,128,6,train
76,low_noise_000,low_noise,0,76,150000,0.01,0.02,0.0,128,6,train
77,low_noise_000,low_noise,0,77,150000,0.01,0.02,0.0,128,6,train
78,low_noise_000,low_noise,0,78,150000,0.01,0.02,0.0,128,6,train
79,low_noise_000,low_noise,0,79,150000,0.01,0.02,0.0,128,6,train
80,low_noise_000,low_noise,0,80,150000,0.01,0.02,0.0,128,6,train
81,low_noise_000,low_noise,0,81,150000,0.01,0.02,0.0,128,6,train
82,low_noise_000,low_noise,0,82,150000,0.01,0.02,0.0,128,6,train
83,low_noise_000,low_noise,0,83,150000,0.01,0.02,0.0,128,6,train
84,low_noise_000,low_noise,0,84,150000,0.01,0.02,0.0,128,6,train
85,low_noise_000,low_noise,0,85,150000,0.01,0.02,0.0,128,6,train
86,low_noise_000,low_noise,0,86,150000,0.01,0.02,0.0,128,6,train
87,low_noise_000,low_noise,0,87,150000,0.01,0.02,0.0,128,6,train
88,low_noise_000,low_noise,0,88,150000,0.01,0.02,0.0,128,6,train
89,low_noise_000,low_noise,0,89,150000,0.01,0.02,0.0,128,6,train
90,low_noise_000,low_noise,0,90,150000,0.01,0.02,0.0,128,6,train
91,low_noise_000,low_noise,0,91,150000,0.01,0.02,0.0,128,6,train
92,low_noise_000,low_noise,0,92,150000,0.01,0.02,0.0,128,6,train
93,low_noise_000,low_noise,0,93,150000,0.01,0.02,0.0,128,6,train
94,low_noise_000,low_noise,0,94,150000,0.01,0.02,0.0,128,6,train
95,low_noise_000,low_noise,0,95,150000,0.01,0.02,0.0,128,6,train
96,low_noise_000,low_noise,0,96,150000,0.01,0.02,0.0,128,6,train
97,low_noise_000,low_noise,0,97,150000,0.01,0.02,0.0,128,6,train
98,low_noise_000,low_noise,0,98,150000,0.01,0.02,0.0,128,6,train
99,low_noise_001,low_noise,1,0,150001,0.01,0.02,0.0,128,6,test
100,low_noise_001,low_noise,1,1,150001,0.01,0.02,0.0,128,6,test
101,low_noise_001,low_noise,1,2,150001,0.01,0.02,0.0,128,6,test
102,low_noise_001,low_noise,1,3,150001,0.01,0.02,0.0,128,6,test
103,low_noise_001,low_noise,1,4,150001,0.01,0.02,0.0,128,6,test
104,low_noise_001,low_noise,1,5,150001,0.01,0.02,0.0,128,6,test
105,low_noise_001,low_noise,1,6,150001,0.01,0.02,0.0,128,6,test
106,low_noise_001,low_noise,1,7,150001,0.01,0.02,0.0,128,6,test
107,low_noise_001,low_noise,1,8,150001,0.01,0.02,0.0,128,6,test
108,low_noise_001,low_noise,1,9,150001,0.01,0.02,0.0,128,6,test
109,low_noise_001,low_noise,1,10,150001,0.01,0.02,0.0,128,6,test
110,low_noise_001,low_noise,1,11,150001,0.01,0.02,0.0,128,6,test
111,low_noise_001,low_noise,1,12,150001,0.01,0.02,0.0,128,6,test
112,low_noise_001,low_noise,1,13,150001,0.01,0.02,0.0,128,6,test
113,low_noise_001,low_noise,1,14,150001,0.01,0.02,0.0,128,6,test
114,low_noise_001,low_noise,1,15,150001,0.01,0.02,0.0,128,6,test
115,low_noise_001,low_noise,1,16,150001,0.01,0.02,0.0,128,6,test
116,low_noise_001,low_noise,1,17,150001,0.01,0.02,0.0,128,6,test
117,low_noise_001,low_noise,1,18,150001,0.01,0.02,0.0,128,6,test
118,low_noise_001,low_noise,1,19,150001,0.01,0.02,0.0,128,6,test
119,low_noise_001,low_noise,1,20,150001,0.01,0.02,0.0,128,6,test
120,low_noise_001,low_noise,1,21,150001,0.01,0.02,0.0,128,6,test
121,low_noise_001,low_noise,1,22,150001,0.01,0.02,0.0,128,6,test
122,low_noise_001,low_noise,1,23,150001,0.01,0.02,0.0,128,6,test
123,low_noise_001,low_noise,1,24,150001,0.01,0.02,0.0,128,6,test
124,low_noise_001,low_noise,1,25,150001,0.01,0.02,0.0,128,6,test
125,low_noise_001,low_noise,1,26,150001,0.01,0.02,0.0,128,6,test
126,low_noise_001,low_noise,1,27,150001,0.01,0.02,0.0,128,6,test
127,low_noise_001,low_noise,1,28,150001,0.01,0.02,0.0,128,6,test
128,low_noise_001,low_noise,1,29,150001,0.01,0.02,0.0,128,6,test
129,low_noise_001,low_noise,1,30,150001,0.01,0.02,0.0,128,6,test
130,low_noise_001,low_noise,1,31,150001,0.01,0.02,0.0,128,6,test
131,low_noise_001,low_noise,1,32,150001,0.01,0.02,0.0,128,6,test
132,low_noise_001,low_noise,1,33,150001,0.01,0.02,0.0,128,6,test
133,low_noise_001,low_noise,1,34,150001,0.01,0.02,0.0,128,6,test
134,low_noise_001,low_noise,1,35,150001,0.01,0.02,0.0,128,6,test
135,low_noise_001,low_noise,1,36,150001,0.01,0.02,0.0,128,6,test
136,low_noise_001,low_noise,1,37,150001,0.01,0.02,0.0,128,6,test
137,low_noise_001,low_noise,1,38,150001,0.01,0.02,0.0,128,6,test
138,low_noise_001,low_noise,1,39,150001,0.01,0.02,0.0,128,6,test
139,low_noise_001,low_noise,1,40,150001,0.01,0.02,0.0,128,6,test
140,low_noise_001,low_noise,1,41,150001,0.01,0.02,0.0,128,6,test
141,low_noise_001,low_noise,1,42,150001,0.01,0.02,0.0,128,6,test
142,low_noise_001,low_noise,1,43,150001,0.01,0.02,0.0,128,6,test
143,low_noise_001,low_noise,1,44,150001,0.01,0.02,0.0,128,6,test
144,low_noise_001,low_noise,1,45,150001,0.01,0.02,0.0,128,6,test
145,low_noise_001,low_noise,1,46,150001,0.01,0.02,0.0,128,6,test
146,low_noise_001,low_noise,1,47,150001,0.01,0.02,0.0,128,6,test
147,low_noise_001,low_noise,1,48,150001,0.01,0.02,0.0,128,6,test
148,low_noise_001,low_noise,1,49,150001,0.01,0.02,0.0,128,6,test
149,low_noise_001,low_noise,1,50,150001,0.01,0.02,0.0,128,6,test
150,low_noise_001,low_noise,1,51,150001,0.01,0.02,0.0,128,6,test
151,low_noise_001,low_noise,1,52,150001,0.01,0.02,0.0,128,6,test
152,low_noise_001,low_noise,1,53,150001,0.01,0.02,0.0,128,6,test
153,low_noise_001,low_noise,1,54,150001,0.01,0.02,0.0,128,6,test
154,low_noise_001,low_noise,1,55,150001,0.01,0.02,0.0,128,6,test
155,low_noise_001,low_noise,1,56,150001,0.01,0.02,0.0,128,6,test
156,low_noise_001,low_noise,1,57,150001,0.01,0.02,0.0,128,6,test
157,low_noise_001,low_noise,1,58,150001,0.01,0.02,0.0,128,6,test
158,low_noise_001,low_noise,1,59,150001,0.01,0.02,0.0,128,6,test
159,low_noise_001,low_noise,1,60,150001,0.01,0.02,0.0,128,6,test
160,low_noise_001,low_noise,1,61,150001,0.01,0.02,0.0,128,6,test
161,low_noise_001,low_noise,1,62,150001,0.01,0.02,0.0,128,6,test
162,low_noise_001,low_noise,1,63,150001,0.01,0.02,0.0,128,6,test
163,low_noise_001,low_noise,1,64,150001,0.01,0.02,0.0,128,6,test
164,low_noise_001,low_noise,1,65,150001,0.01,0.02,0.0,128,6,test
165,low_noise_001,low_noise,1,66,150001,0.01,0.02,0.0,128,6,test
166,low_noise_001,low_noise,1,67,150001,0.01,0.02,0.0,128,6,test
167,low_noise_001,low_noise,1,68,150001,0.01,0.02,0.0,128,6,test
168,low_noise_001,low_noise,1,69,150001,0.01,0.02,0.0,128,6,test
169,low_noise_001,low_noise,1,70,150001,0.01,0.02,0.0,128,6,test
170,low_noise_001,low_noise,1,71,150001,0.01,0.02,0.0,128,6,test
171,low_noise_001,low_noise,1,72,150001,0.01,0.02,0.0,128,6,test
