epoch,train_loss,train_R_loss,train_amplitude_loss,val_loss,val_R_loss,val_amplitude_loss,learning_rate,kappa_lindblad,kappa_neural,time_seconds,improved
1,0.15006918722755594,0.010364857450759907,0.139704329624213,0.11174887135900834,0.009497668855017684,0.10225120243374948,0.001,0.9149307012557983,0.7380876541137695,65.42918229103088,True
2,0.10283306449608713,0.009096085202502567,0.09373697947716128,0.1070634236690974,0.008908260463476684,0.09815516395600958,0.001,0.9504643678665161,0.8348968625068665,67.69917941093445,True
3,0.09869437149549803,0.008652486019427814,0.0900418853475934,0.10521245513500188,0.00843214001412494,0.09678031488349943,0.001,0.96708083152771,0.9649297595024109,64.22927594184875,True
4,0.09530791151747214,0.008268642690554153,0.08703926890701442,0.10356470031870736,0.008261004207900378,0.09530369645041047,0.001,0.9639346599578857,1.0957380533218384,66.57103109359741,True
5,0.0930160212909741,0.008046454991231447,0.08496956639482356,0.09826482796809488,0.008041346636177464,0.09022348108967948,0.001,0.9685447812080383,1.2147105932235718,65.71134781837463,True
6,0.0915166709394682,0.007910547932558848,0.08360612297599966,0.09968273220991446,0.007924197947368126,0.09175853385756212,0.001,0.9685425758361816,1.311015009880066,68.4049904346466,False
7,0.09113763111158345,0.007875689374559127,0.0832619417440294,0.09811050135654834,0.007796434872793128,0.09031406642887929,0.001,0.9702050089836121,1.3883055448532104,67.28948593139648,True
8,0.08893388303757402,0.00778681304612201,0.08114707013444294,0.09662827165916511,0.007768139477681231,0.08886013228496417,0.001,0.9690096974372864,1.4783324003219604,58.49364995956421,True
9,0.08827624084457518,0.007728227142991786,0.08054801375533939,0.09600797166000512,0.007693886360222542,0.08831408546252885,0.001,0.965613603591919,1.5594427585601807,41.347391843795776,True
10,0.08774203587576081,0.0077113103164523885,0.08003072552006654,0.09505376114763997,0.007731657813895832,0.08732210287404081,0.001,0.9659502506256104,1.630049228668213,40.32765007019043,True
11,0.08666061427266825,0.007681164073974196,0.0789794500879567,0.09925513345284093,0.007800870456478813,0.09145426240683806,0.001,0.9659935235977173,1.699454665184021,41.07606387138367,False
12,0.08656035009260904,0.0076376637015196066,0.07892268631247129,0.09859930631212313,0.007601899114007801,0.09099740667036588,0.001,0.966333270072937,1.7684357166290283,40.51119947433472,False
