model,sigma,ood,R_norm,amplitude_norm,mean_trace_error,max_trace_error,minimum_eigenvalue,negative_eigenvalue_fraction,finite,sigma_response_from_0p65,Lindblad_delta_norm,Neural_delta_norm
FNO,0.65,False,333.8531494140625,379.7779846191406,0.015028513967990875,0.1536099910736084,-0.6636796593666077,0.3372693955898285,True,0.0,,
LNO,0.65,False,337.0631103515625,369.9722900390625,2.1919319692642603e-08,2.384185791015625e-07,-2.8417835551408643e-07,0.0,True,0.0,147.73976135253906,1191.7276611328125
FNO,0.75,True,330.6943054199219,387.05169677734375,0.01598476618528366,0.1569674015045166,-0.6558756828308105,0.318604439496994,True,27.020362854003906,,
LNO,0.75,True,336.10552978515625,371.75274658203125,2.068915883057798e-08,2.384185791015625e-07,-2.8953880359949835e-07,0.0,True,22.564613342285156,147.73976135253906,1188.4447021484375
FNO,0.85,True,326.41217041015625,397.1287536621094,0.017095914110541344,0.15661287307739258,-0.6501500010490417,0.2956255376338959,True,48.04505157470703,,
LNO,0.85,True,337.2974548339844,375.5702819824219,1.992873599476752e-08,2.384185791015625e-07,-3.216092636648682e-07,0.0,True,48.22304916381836,147.73976135253906,1188.0321044921875
FNO,1.0,True,317.3307189941406,414.28240966796875,0.019169481471180916,0.17220914363861084,-0.6465505957603455,0.2645561397075653,True,72.93473052978516,,
LNO,1.0,True,343.5125732421875,383.4562072753906,1.9446455112870353e-08,2.384185791015625e-07,-3.2801222005218733e-07,0.0,True,92.56118774414062,147.73976135253906,1204.0450439453125
FNO,1.25,True,301.9811096191406,441.7635803222656,0.02378317527472973,0.2058907151222229,-0.6554084420204163,0.24478289484977722,True,112.51207733154297,,
LNO,1.25,True,358.6425476074219,398.1578063964844,1.85800423935234e-08,2.384185791015625e-07,-3.0575694154322264e-07,0.0,True,158.6280059814453,147.73976135253906,1275.074462890625
