timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
0,0.0,0.0,-0.08105941,-0.08105941,0.0,0.27227485,0.27227485,0.0
1,0.07051292,0.006782442,-0.05161564,-0.05075349,0.0008621514,0.26483822,0.2563862,-0.008452028
2,0.06567861,0.01447821,-0.024512405,-0.02378565,0.00072675385,0.23377475,0.22729883,-0.0064759254
3,0.061091274,0.01438213,0.0009101507,0.0016660444,0.00075589365,0.22857407,0.2231966,-0.0053774714
4,0.06006756,0.014488289,0.025032187,0.026003879,0.0009716917,0.22190712,0.21725047,-0.0046566576
5,0.062535375,0.020778464,0.04801648,0.04908044,0.0010639578,0.21627165,0.20812489,-0.008146763
6,0.05856388,0.020139575,0.06931936,0.070348755,0.0010293946,0.20007545,0.19611079,-0.0039646626
7,0.055140637,0.021035481,0.08969815,0.09072005,0.0010218993,0.19555984,0.19183823,-0.0037216097
8,0.054469183,0.019958347,0.1094317,0.11051738,0.0010856837,0.18591833,0.18245545,-0.0034628808
9,0.054673165,0.023977978,0.12783036,0.12896311,0.0011327565,0.18310638,0.17909738,-0.0040089935
10,0.053204395,0.024673691,0.1450036,0.1461239,0.0011202991,0.17268255,0.16974528,-0.0029372722
11,0.0518653,0.023654938,0.16144131,0.16253231,0.0010910034,0.16484326,0.16234489,-0.0024983734
12,0.051506255,0.022214275,0.17732084,0.17843087,0.0011100322,0.16221008,0.15985572,-0.0023543537
13,0.051577065,0.02189859,0.19215149,0.1932963,0.0011448115,0.15562078,0.15298256,-0.0026382208
14,0.05107863,0.024564447,0.20590681,0.20703706,0.0011302531,0.14625126,0.14433402,-0.001917243
15,0.050435994,0.01905271,0.21911976,0.22020282,0.0010830611,0.143123,0.14074019,-0.002382815
16,0.0501348,0.014095863,0.23195648,0.23303418,0.0010776967,0.13775037,0.13548216,-0.00226821
17,0.050195523,0.014836242,0.24366044,0.24475682,0.0010963827,0.13142294,0.12958232,-0.0018406212
18,0.050080765,0.018698178,0.2545489,0.25562218,0.001073271,0.12472324,0.12333973,-0.0013835132
19,0.049704317,0.021263847,0.26519406,0.26621494,0.0010208786,0.12156221,0.119784154,-0.0017780587
20,0.04950932,0.015480157,0.27521682,0.2762207,0.0010038912,0.116519615,0.11490747,-0.0016121417
21,0.04967088,0.023176156,0.2846578,0.28566745,0.0010096431,0.11251649,0.11107004,-0.0014464557
22,0.04983344,0.022710472,0.2936248,0.29461178,0.0009869933,0.107538074,0.106547534,-0.0009905398
23,0.049728423,0.020329408,0.30219746,0.3031426,0.00094515085,0.10485515,0.1030875,-0.0017676502
24,0.049742684,0.01425132,0.31033003,0.31125653,0.0009264946,0.10165937,0.09983873,-0.0018206388
25,0.050059617,0.019444998,0.3179006,0.3188252,0.00092458725,0.09844912,0.09656228,-0.0018868372
26,0.05043744,0.018113738,0.3252665,0.32617405,0.0009075403,0.095508814,0.0941734,-0.0013354123
27,0.050643206,0.022340244,0.33221284,0.33309266,0.00087982416,0.0929905,0.09122873,-0.0017617717
28,0.050922804,0.014452602,0.3388466,0.33970985,0.00086325407,0.09044343,0.088384114,-0.0020593181
29,0.051420756,0.020183356,0.34496924,0.3458253,0.0008560717,0.08790599,0.08619103,-0.0017149597
30,0.05198464,0.021505125,0.35092056,0.35176328,0.00084272027,0.08544628,0.083975405,-0.0014708787
31,0.052487057,0.017086837,0.35660896,0.35743323,0.00082427263,0.08314491,0.08163835,-0.0015065596
32,0.05304369,0.017753053,0.36191663,0.36272663,0.0008099973,0.080944166,0.07939762,-0.0015465468
33,0.05373042,0.020358808,0.3669745,0.36777374,0.0007992387,0.078791924,0.077362426,-0.0014294982
34,0.05447767,0.018561427,0.37183046,0.37261721,0.0007867515,0.07668589,0.075363964,-0.0013219267
35,0.055229485,0.02270244,0.37635213,0.37712476,0.0007726252,0.07471613,0.07344104,-0.0012750849
36,0.056026246,0.024588082,0.38071555,0.3814746,0.00075906515,0.0727656,0.07155578,-0.0012098253
37,0.056896016,0.024726415,0.3848635,0.3856102,0.0007466972,0.07089543,0.06977038,-0.0011250526
38,0.057811514,0.025819603,0.38883558,0.3895693,0.0007337332,0.069029726,0.06798496,-0.0010447651
39,0.058754534,0.027480833,0.39265174,0.39337182,0.0007200837,0.0672525,0.06626952,-0.0009829849
40,0.059736148,0.02502143,0.39623025,0.39693686,0.00070661306,0.065578766,0.06461548,-0.00096328557
41,0.060760405,0.029484836,0.39960665,0.40030006,0.00069341063,0.063964345,0.06304833,-0.00091601163
42,0.061818205,0.029535433,0.40284902,0.40352893,0.0006799102,0.062398147,0.061547033,-0.00085111335
43,0.06290569,0.0311866,0.40593463,0.40660074,0.0006661117,0.060883928,0.06007343,-0.0008104965
44,0.06402119,0.023243036,0.4088891,0.40954128,0.0006521642,0.05942318,0.058670565,-0.00075261295
45,0.06516428,0.025797281,0.41172948,0.41236734,0.0006378591,0.057964504,0.05727046,-0.00069404393
46,0.06633119,0.028195286,0.4144104,0.41503394,0.0006235242,0.056593224,0.05599928,-0.0005939454
47,0.06751813,0.026723942,0.41694874,0.4175577,0.00060895085,0.055274986,0.05480783,-0.00046715513
48,0.06872191,0.03448001,0.41937795,0.41997215,0.0005941987,0.05401659,0.053643912,-0.00037267804
49,0.0699418,0.02549682,0.42162323,0.42220274,0.00057950616,0.05284006,0.052555747,-0.00028431416
50,0.071177274,0.033060838,0.42381063,0.42437482,0.00056418777,0.05165433,0.051442273,-0.00021205842
51,0.072424665,0.03454341,0.4258484,0.4263975,0.0005491078,0.05057826,0.050426617,-0.00015164167
52,0.07368039,0.03405048,0.42777026,0.42830402,0.0005337596,0.049518287,0.049436457,-8.182973e-05
53,0.07494755,0.03494453,0.42959422,0.4301125,0.0005182922,0.048508756,0.048500706,-8.050352e-06
54,0.07622095,0.035533182,0.4312903,0.431793,0.0005027056,0.047550343,0.047595277,4.493445e-05
55,0.07749949,0.03462536,0.43290085,0.43338776,0.00048691034,0.046623446,0.04671984,9.639561e-05
56,0.07878132,0.03571561,0.43445918,0.43492997,0.0004707873,0.045736052,0.045879267,0.00014321506
57,0.08006698,0.03870269,0.4359229,0.43637747,0.00045457482,0.044894237,0.045069512,0.00017527491
58,0.08135282,0.033725105,0.4373068,0.43774474,0.00043794513,0.04405208,0.04425466,0.00020258129
59,0.08263899,0.039411798,0.43859944,0.43902084,0.00042140484,0.043270953,0.043493975,0.00022302195
60,0.08392477,0.036701187,0.43980888,0.44021332,0.00040444732,0.042455286,0.042699818,0.00024453178
61,0.085212,0.037836093,0.44097364,0.44136077,0.00038713217,0.041655578,0.041939482,0.00028390437
62,0.08649794,0.038528007,0.4420399,0.4424101,0.00037020445,0.040954985,0.041263483,0.00030849874
63,0.08777529,0.033853944,0.44305232,0.44340488,0.00035256147,0.040200982,0.040535145,0.00033416227
64,0.08904788,0.0312704,0.44398394,0.44431913,0.00033518672,0.039558217,0.03990227,0.0003440529
65,0.090316,0.032056484,0.4449168,0.4452335,0.00031667948,0.038827892,0.03919061,0.00036271662
