timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
0,0.0,0.0,-0.08105941,-0.08105941,0.0,0.27227485,0.27227485,0.0
1,0.049359113,0.0044614943,-0.05162947,-0.051020447,0.00060902163,0.26483142,0.2589137,-0.005917728
2,0.04591145,0.009656724,-0.02445924,-0.023944015,0.0005152244,0.23373666,0.2292155,-0.0045211613
3,0.04284073,0.011240949,0.0009469522,0.0014790599,0.0005321077,0.22854695,0.2241399,-0.004407048
4,0.041824713,0.009694772,0.025134284,0.025821242,0.00068695843,0.22186022,0.21858391,-0.0032763034
5,0.043786682,0.014970271,0.048008163,0.048764203,0.0007560402,0.21621789,0.21020949,-0.0060084015
6,0.04086601,0.014219538,0.06939194,0.0701208,0.00072885305,0.20000708,0.19717929,-0.0028277934
7,0.038292244,0.015274368,0.08986759,0.09058829,0.00072069466,0.19542092,0.19264342,-0.002777502
8,0.03771937,0.013622134,0.109552875,0.110319205,0.00076632947,0.18580389,0.1832998,-0.0025040954
9,0.037925303,0.016243882,0.12792611,0.12872614,0.00080002844,0.18299985,0.18002978,-0.0029700696
10,0.036852565,0.017401777,0.14506596,0.14585598,0.00079001486,0.17257802,0.17050876,-0.0020692647
11,0.035846982,0.016603956,0.16153902,0.16230781,0.0007687956,0.1647382,0.16295406,-0.0017841309
12,0.035572503,0.015367597,0.17740256,0.17818515,0.0007825941,0.16209707,0.16046555,-0.0016315132
13,0.035647117,0.015314439,0.19216911,0.19297603,0.0008069128,0.15552384,0.15367793,-0.0018459111
14,0.03528961,0.017068744,0.20589586,0.20669198,0.00079612434,0.14617914,0.14481504,-0.001364097
15,0.034827232,0.013300151,0.21909939,0.21986257,0.0007631779,0.14306591,0.1414033,-0.001662612
16,0.034616232,0.009824074,0.23184042,0.2326003,0.0007598847,0.13773954,0.13613775,-0.0016017854
17,0.034675878,0.0103342375,0.24365926,0.24443163,0.0007723719,0.1313503,0.13006562,-0.0012846738
18,0.034591522,0.01296965,0.2546664,0.2554218,0.00075539947,0.12459436,0.12363096,-0.0009633973
19,0.03432792,0.014696116,0.26526526,0.26598424,0.000718981,0.12148132,0.12024855,-0.0012327731
20,0.03419961,0.010706933,0.27540252,0.27610984,0.0007073283,0.11640587,0.11528313,-0.0011227354
21,0.034325924,0.016041556,0.28492567,0.28563634,0.0007106662,0.11235196,0.11134523,-0.0010067299
22,0.034438953,0.015558489,0.29387298,0.29456714,0.0006941557,0.10740313,0.10667984,-0.00072328746
23,0.034371976,0.014095808,0.30241284,0.30307806,0.00066521764,0.10474004,0.10350205,-0.0012379885
24,0.034395408,0.009882455,0.31056932,0.31122184,0.00065252185,0.10154654,0.100263655,-0.0012828857
25,0.034632586,0.013491137,0.31824917,0.31889975,0.0006505847,0.09826707,0.096945554,-0.0013215169
