timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
0,0.0,0.0,-0.08105941,-0.08105941,0.0,0.27227485,0.27227485,0.0
1,0.0014103109,0.00011274978,-0.051633064,-0.05161531,1.7754734e-05,0.2648297,0.26466048,-0.00016921759
2,0.0013036343,0.00024283348,-0.024445418,-0.024430238,1.5180558e-05,0.23372675,0.2335991,-0.00012765825
3,0.0012280159,0.0002952204,0.00095651817,0.0009719929,1.547474e-05,0.2285399,0.22841226,-0.00012764335
4,0.0011814699,0.00025858104,0.025160823,0.02518096,2.0137057e-05,0.22184803,0.22172241,-0.00012561679
5,0.0012580659,0.0004084845,0.04800599,0.04802846,2.2470951e-05,0.21620393,0.2160234,-0.00018052757
6,0.0011666528,0.00040755584,0.06941079,0.06943229,2.1494925e-05,0.1999893,0.19990468,-8.4623694e-05
7,0.0010811501,0.00047380492,0.08991159,0.08993262,2.1032989e-05,0.1953848,0.19529413,-9.0673566e-05
8,0.001058083,0.00040939933,0.10958434,0.109606735,2.2396445e-05,0.18577416,0.18569674,-7.742643e-05
9,0.0010693689,0.00052356307,0.12795098,0.1279744,2.3424625e-05,0.18297361,0.18286821,-0.00010539591
10,0.001035969,0.00050294213,0.14508215,0.14510518,2.3037195e-05,0.17255086,0.17249028,-6.057322e-05
11,0.0010016669,0.00049696,0.16156438,0.16158675,2.2366643e-05,0.16471091,0.16465592,-5.4985285e-05
12,0.0009916651,0.00042995822,0.17742376,0.17744654,2.2783875e-05,0.1620677,0.16202226,-4.543364e-05
13,0.0009956716,0.0004363244,0.19217367,0.19219714,2.3469329e-05,0.15549862,0.15544572,-5.2899122e-05
14,0.0009849741,0.0004897388,0.205893,0.2059161,2.3111701e-05,0.1461604,0.14611566,-4.4733286e-05
15,0.00097047695,0.0003770694,0.21909407,0.21911624,2.2172928e-05,0.14305106,0.14300449,-4.656613e-05
16,0.0009642735,0.00027503277,0.23181024,0.23183234,2.2098422e-05,0.13773671,0.1376916,-4.5105815e-05
17,0.0009669169,0.0002917311,0.24365892,0.24368134,2.2426248e-05,0.13133141,0.13129485,-3.656745e-05
18,0.0009643199,0.00036255305,0.2546968,0.2547187,2.1904707e-05,0.12456086,0.124533415,-2.7447939e-05
19,0.000956798,0.0004077847,0.26528367,0.26530457,2.0891428e-05,0.1214603,0.12142566,-3.46452e-05
20,0.0009535881,0.00029716833,0.27545068,0.27547124,2.0563602e-05,0.1163763,0.11634453,-3.1776726e-05
21,0.000957941,0.00044579493,0.2849951,0.28501573,2.0623207e-05,0.11230921,0.11228068,-2.8528273e-05
22,0.0009611861,0.00044426025,0.29393733,0.2939574,2.0086765e-05,0.10736807,0.10732911,-3.8959086e-05
23,0.00095966243,0.0003919075,0.3024687,0.30248797,1.9282103e-05,0.10471013,0.10467504,-3.5092235e-05
24,0.0009611764,0.00027655825,0.3106314,0.31065035,1.8954277e-05,0.101517215,0.10148047,-3.6746264e-05
25,0.0009687064,0.00037714007,0.31833953,0.3183584,1.886487e-05,0.09821978,0.098181866,-3.7916005e-05
26,0.0009767169,0.0003969345,0.32561103,0.3256295,1.847744e-05,0.09534019,0.095298514,-4.1678548e-05
27,0.0009817232,0.00046108672,0.33252552,0.33254346,1.7940998e-05,0.092858545,0.09281536,-4.3183565e-05
28,0.0009887932,0.00029224672,0.33911937,0.33913702,1.7642975e-05,0.0903159,0.09027179,-4.4107437e-05
29,0.0010000387,0.00043263022,0.34536815,0.34538564,1.7493963e-05,0.08768852,0.08764365,-4.4867396e-05
30,0.0010121341,0.0004764771,0.35129037,0.3513076,1.7225742e-05,0.085274786,0.08522738,-4.7408044e-05
31,0.0010232875,0.00039652217,0.3569195,0.3569364,1.6897917e-05,0.082999304,0.08295146,-4.784763e-05
32,0.0010359326,0.00041459507,0.36227342,0.36229005,1.6629696e-05,0.080757685,0.0807087,-4.8987567e-05
33,0.0010509919,0.00045848277,0.36736068,0.3673771,1.642108e-05,0.07857458,0.07852407,-5.0514936e-05
34,0.0010669531,0.00041644962,0.3721926,0.37220877,1.6182661e-05,0.07649502,0.076443255,-5.1766634e-05
35,0.0010832176,0.0004949684,0.37678236,0.37679827,1.591444e-05,0.07448117,0.07442856,-5.260855e-05
36,0.0011004697,0.00053063844,0.38114926,0.3811649,1.564622e-05,0.072509386,0.07245635,-5.3033233e-05
37,0.0011191061,0.00052904175,0.3853007,0.38531613,1.5437603e-05,0.07062341,0.07056937,-5.403906e-05
38,0.001138547,0.00054878043,0.38924736,0.38926256,1.5199184e-05,0.068783365,0.06872752,-5.58421e-05
39,0.0011586581,0.0005814735,0.3930005,0.39301547,1.4960766e-05,0.06702459,0.066966675,-5.7913363e-05
40,0.0011794057,0.00053192757,0.39656737,0.3965821,1.4722347e-05,0.06536424,0.065305606,-5.863607e-05
41,0.0012010101,0.0006161183,0.39995748,0.399972,1.4513731e-05,0.06373832,0.06367859,-5.9723854e-05
42,0.0012232271,0.00061404065,0.4031809,0.40319514,1.424551e-05,0.062155098,0.062094755,-6.0342252e-05
43,0.0012459827,0.0006441133,0.40624475,0.40625876,1.40070915e-05,0.06065529,0.060594372,-6.0915947e-05
44,0.0012691857,0.00048804434,0.4091572,0.40917096,1.3768673e-05,0.059198763,0.059136696,-6.206706e-05
45,0.0012929186,0.0005359403,0.4119256,0.4119391,1.3500452e-05,0.057798564,0.05773587,-6.269291e-05
46,0.0013170552,0.0005865086,0.41455504,0.41456833,1.3291836e-05,0.05645785,0.056393933,-6.391853e-05
47,0.0013415045,0.0005606333,0.41705218,0.4170652,1.3023615e-05,0.055160634,0.055096168,-6.446615e-05
48,0.0013662493,0.0007144309,0.41942385,0.41943663,1.2785196e-05,0.053926557,0.053860813,-6.574392e-05
49,0.0013912838,0.0005422977,0.4216732,0.42168573,1.2516975e-05,0.05274515,0.052680336,-6.48126e-05
50,0.001416597,0.00069503067,0.42380932,0.4238216,1.2278557e-05,0.051629305,0.051563084,-6.622076e-05
51,0.00144198,0.00072819623,0.42583427,0.42584628,1.2010336e-05,0.050549865,0.05048226,-6.760657e-05
52,0.0014675589,0.00072266115,0.42775375,0.4277655,1.1742115e-05,0.049502634,0.049433656,-6.8977475e-05
53,0.0014932541,0.0007465152,0.42957273,0.4295842,1.1473894e-05,0.04849715,0.048427276,-6.987527e-05
54,0.0015189579,0.0007583677,0.43129444,0.43130568,1.12354755e-05,0.04752322,0.047451977,-7.124245e-05
55,0.0015447466,0.0007418633,0.43292418,0.43293512,1.0937452e-05,0.046590596,0.04651912,-7.1477145e-05
56,0.0015705178,0.0007636413,0.43446672,0.43447742,1.0699034e-05,0.04570126,0.045628935,-7.232651e-05
57,0.0015962732,0.0008116405,0.43592438,0.43593478,1.04010105e-05,0.044839814,0.044769607,-7.020682e-05
58,0.0016220165,0.0006706163,0.43730095,0.4373111,1.0162592e-05,0.04400251,0.04394453,-5.798042e-05
59,0.001647649,0.000744505,0.4385994,0.43860927,9.864569e-06,0.043190204,0.043143574,-4.662946e-05
60,0.0016732696,0.00069039717,0.439823,0.4398326,9.596348e-06,0.04239898,0.042363033,-3.594905e-05
61,0.0016987335,0.0007451271,0.4409759,0.4409852,9.298325e-06,0.04162948,0.041603923,-2.5555491e-05
62,0.001724157,0.00079169864,0.44205925,0.44206828,9.030104e-06,0.040883377,0.040867418,-1.5959144e-05
63,0.0017493847,0.0007202159,0.44307706,0.4430858,8.7320805e-06,0.040157236,0.04014835,-8.884817e-06
64,0.0017744626,0.00066544034,0.44403106,0.4440395,8.434057e-06,0.03945991,0.039450556,-9.354204e-06
65,0.0017993989,0.0006790103,0.44492617,0.44493434,8.165836e-06,0.03877742,0.0387676,-9.819865e-06
66,0.0018241333,0.0008091644,0.44576243,0.4457703,7.867813e-06,0.0381126,0.038102303,-1.0296702e-05
67,0.0018487078,0.000708229,0.4465423,0.44654986,7.56979e-06,0.037465878,0.03745511,-1.0766089e-05
68,0.0018730988,0.00073114585,0.4472685,0.44727576,7.2717667e-06,0.036833644,0.036822412,-1.123175e-05
69,0.0018973011,0.00086410774,0.44794184,0.4479488,6.9737434e-06,0.03622073,0.036209024,-1.1704862e-05
70,0.0019212904,0.00085544196,0.44856605,0.44857273,6.67572e-06,0.035620306,0.03560813,-1.2174249e-05
71,0.0019450488,0.0008914765,0.4491424,0.44914874,6.3478947e-06,0.03503389,0.03502125,-1.263991e-05
72,0.001968612,0.0008949685,0.44967255,0.44967857,6.020069e-06,0.034462176,0.03444907,-1.3105571e-05
73,0.001991896,0.000837239,0.4501577,0.45016342,5.722046e-06,0.03390286,0.033889294,-1.3567507e-05
74,0.0020150167,0.0008243073,0.45060053,0.45060596,5.4240227e-06,0.0333586,0.033344567,-1.4033169e-05
75,0.0020378926,0.0009410785,0.4510022,0.4510073,5.096197e-06,0.032826982,0.032812495,-1.4487654e-05
76,0.0020605156,0.00094065117,0.45136437,0.45136914,4.7683716e-06,0.032305695,0.03229075,-1.4945865e-05
77,0.0020829444,0.00091740803,0.45168853,0.45169297,4.440546e-06,0.03179676,0.031781368,-1.53929e-05
78,0.002105073,0.00085014384,0.45197606,0.45198017,4.1127205e-06,0.03129933,0.031283483,-1.5847385e-05
79,0.002127007,0.00094517117,0.45222822,0.452232,3.784895e-06,0.030811612,0.030795325,-1.628697e-05
80,0.002148724,0.00082404126,0.4524465,0.45244995,3.4570694e-06,0.030336166,0.030319437,-1.6728416e-05
