timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
0,0.0,0.0,-0.08105941,-0.08105941,0.0,0.27227485,0.27227485,0.0
1,0.021153873,0.0017738971,-0.05162532,-0.05136116,0.00026416034,0.26483345,0.26229638,-0.0025370717
2,0.019618198,0.0038463925,-0.024475187,-0.024250353,0.00022483431,0.23374808,0.23182166,-0.0019264221
3,0.018403139,0.004617167,0.00093591335,0.0011662202,0.00023030682,0.22855508,0.2266495,-0.0019055903
4,0.017807964,0.0037792074,0.025103658,0.025402483,0.00029882416,0.2218743,0.22042933,-0.0014449656
5,0.018818941,0.0062735127,0.048010662,0.048342146,0.00033148378,0.21623401,0.21358012,-0.0026538968
6,0.017495777,0.006120976,0.06937018,0.06968829,0.00031811,0.20002759,0.19878249,-0.0012450963
7,0.01629015,0.0070980648,0.0898168,0.09012956,0.00031276047,0.19546257,0.1941146,-0.001347974
8,0.015988296,0.0062065637,0.109516546,0.10984941,0.00033286214,0.18583822,0.18466711,-0.0011711121
9,0.016122717,0.007842622,0.12789741,0.12824525,0.0003478378,0.18303153,0.18148306,-0.0015484691
10,0.015638364,0.0075176232,0.14504726,0.14538996,0.0003426969,0.17260937,0.17171063,-0.00089874864
11,0.015160937,0.007391041,0.16150972,0.16184281,0.00033308566,0.16476971,0.16394226,-0.0008274466
12,0.015027512,0.006492014,0.17737806,0.17771731,0.00033925474,0.16213097,0.16144145,-0.00068952143
13,0.015076358,0.006556852,0.19216385,0.19251351,0.00034965575,0.15555291,0.1547603,-0.00079260767
14,0.014919125,0.007237741,0.20589915,0.20624377,0.00034461915,0.14620078,0.14557734,-0.0006234348
15,0.014710746,0.0056731757,0.21910551,0.21943599,0.00033047795,0.14308304,0.14237893,-0.00070410967
16,0.014618949,0.0041619595,0.23187526,0.23220448,0.00032922626,0.13774279,0.13706201,-0.00068077445
17,0.014653283,0.0044002915,0.24365965,0.24399395,0.00033430755,0.13137208,0.13082275,-0.0005493313
18,0.014616271,0.005491614,0.25463125,0.25495788,0.00032663345,0.12463301,0.12422074,-0.00041227043
19,0.0145041505,0.006196608,0.26524395,0.26555505,0.00031110644,0.12150558,0.120982215,-0.00052336603
20,0.014452646,0.004514139,0.27534688,0.27565315,0.00030627847,0.116439976,0.11596137,-0.00047860295
21,0.014514132,0.006769941,0.28484544,0.2851528,0.00030735135,0.11240131,0.11197165,-0.00042966008
22,0.014563294,0.006322312,0.29379863,0.2940986,0.00029996037,0.1074436,0.10706782,-0.00037577748
23,0.0145382965,0.0059534134,0.30234835,0.302636,0.00028765202,0.10477456,0.1042459,-0.00052865595
24,0.014555368,0.0041868435,0.3104976,0.31078002,0.0002824068,0.101580374,0.101029314,-0.00055105984
25,0.01466437,0.005714565,0.31814474,0.31842613,0.00028139353,0.09832166,0.097753786,-0.0005678758
26,0.014782376,0.006013027,0.3254581,0.32573408,0.0002759695,0.0954151,0.09478901,-0.0006260872
27,0.014853766,0.0069906595,0.3323867,0.33265465,0.00026795268,0.092917174,0.092268,-0.00064917654
28,0.01495366,0.004397765,0.3389983,0.33926162,0.00026333332,0.09037256,0.08971584,-0.000656724
29,0.0151173435,0.0065411045,0.34519118,0.3454522,0.00026100874,0.08778513,0.0871124,-0.0006727353
30,0.015295371,0.00720248,0.35112628,0.35138318,0.00025689602,0.08535097,0.08463943,-0.0007115379
31,0.015458055,0.005985436,0.35678172,0.3570334,0.0002516806,0.08306399,0.08234641,-0.0007175803
32,0.015641173,0.006252028,0.3621152,0.36236283,0.0002476275,0.08084053,0.08010666,-0.0007338673
33,0.015861565,0.006911038,0.36718953,0.36743402,0.00024449825,0.07867112,0.077914864,-0.0007562563
34,0.016097214,0.0062718834,0.37203205,0.37227288,0.00024083257,0.076579794,0.07580422,-0.00077557564
35,0.016335787,0.0074594403,0.37659165,0.37682846,0.00023680925,0.07458553,0.07379768,-0.00078784674
36,0.016589561,0.007906977,0.38095707,0.38119012,0.00023305416,0.07262318,0.07185276,-0.00077041984
37,0.016864078,0.007596695,0.385107,0.38533655,0.00022953749,0.07074421,0.070033684,-0.0007105246
38,0.017151326,0.0076084957,0.38906494,0.38929084,0.0002259016,0.068891205,0.06823577,-0.000655435
39,0.017447185,0.007891683,0.39284608,0.3930682,0.00022211671,0.06712549,0.06649024,-0.0006352514
40,0.01775461,0.0069777784,0.39641806,0.39663646,0.00021839142,0.06545951,0.06485609,-0.0006034225
41,0.018074136,0.008067131,0.39980215,0.4000169,0.00021475554,0.063838705,0.06327349,-0.00056521595
42,0.018403102,0.007916734,0.403034,0.40324503,0.00021103024,0.06226051,0.061746575,-0.0005139336
43,0.018740395,0.0084443875,0.4061075,0.40631473,0.00020724535,0.060756832,0.060275245,-0.0004815869
44,0.019085571,0.006184853,0.4090386,0.40924203,0.00020343065,0.059298437,0.058848232,-0.00045020506
45,0.01943826,0.0070136557,0.4118388,0.41203836,0.00019955635,0.057872273,0.05746129,-0.00041098148
46,0.01979735,0.007871806,0.41449103,0.4146867,0.00019568205,0.05651799,0.05613227,-0.00038572028
47,0.020161847,0.00757726,0.4170064,0.41719818,0.00019177794,0.05521144,0.05486203,-0.00034940988
48,0.020531032,0.009955479,0.41940358,0.4195914,0.00018781424,0.053966567,0.05364447,-0.00032209605
49,0.02090435,0.007453511,0.42165112,0.42183498,0.00018385053,0.05278734,0.052511208,-0.00027613342
50,0.021281483,0.009833131,0.42380995,0.42398974,0.00017979741,0.05164044,0.051380545,-0.00025989488
51,0.021661423,0.010402304,0.4258406,0.42601633,0.0001757443,0.050562505,0.05031763,-0.0002448745
52,0.022043511,0.0103737265,0.4277611,0.42793277,0.00017166138,0.049509134,0.049283236,-0.00022589788
53,0.022427855,0.010792661,0.4295823,0.42974982,0.00016751885,0.04850234,0.04828953,-0.00021281093
54,0.022813432,0.011008954,0.43129262,0.431456,0.00016337633,0.04753489,0.047340207,-0.00019468367
55,0.023199916,0.0108016655,0.43291384,0.43307298,0.0001591444,0.04660523,0.046432246,-0.00017298386
56,0.023586746,0.011201125,0.43446338,0.4346183,0.00015491247,0.04571675,0.045556247,-0.00016050413
57,0.023973787,0.012137453,0.43592376,0.43607438,0.00015062094,0.04486403,0.044710424,-0.0001536049
58,0.02436046,0.01070306,0.4373036,0.43744984,0.00014624,0.044024564,0.04387769,-0.0001468733
59,0.024746487,0.012421815,0.4385995,0.4387414,0.00014188886,0.043226115,0.043082446,-0.00014366955
60,0.025131634,0.011600027,0.4398168,0.43995425,0.00013744831,0.042424027,0.04228259,-0.0001414381
61,0.025516022,0.011959006,0.44097498,0.4411079,0.00013291836,0.041641105,0.041506417,-0.00013468787
62,0.025899142,0.012186483,0.44205073,0.44217917,0.00012844801,0.040915217,0.040786907,-0.00012831017
63,0.026279839,0.010677737,0.44306612,0.44318998,0.00012385845,0.0401767,0.04007279,-0.00010390952
64,0.02665854,0.009762985,0.44401026,0.44412956,0.0001192987,0.03950362,0.039412387,-9.123236e-05
65,0.027035201,0.009842785,0.4449221,0.44503665,0.00011456013,0.03879987,0.03872535,-7.452071e-05
66,0.027409764,0.0116996085,0.445768,0.4458778,0.000109791756,0.03811772,0.038055923,-6.179884e-05
67,0.027781345,0.0100908205,0.44655338,0.44665837,0.00010499358,0.037472777,0.037420545,-5.2232295e-05
68,0.028150372,0.010326421,0.44728842,0.44738856,0.0001001358,0.03681962,0.036778998,-4.0620565e-05
69,0.028516924,0.012264109,0.4479566,0.44805196,9.536743e-05,0.03623891,0.036204506,-3.4403056e-05
70,0.028880611,0.0120264795,0.44858515,0.44867563,9.047985e-05,0.03563616,0.035615474,-2.0686537e-05
71,0.029241772,0.012517618,0.44916674,0.44925228,8.5532665e-05,0.03504153,0.035030812,-1.071766e-05
72,0.029599536,0.0124994125,0.44970053,0.4497811,8.055568e-05,0.034472495,0.03447249,-3.7252903e-09
73,0.029954279,0.011615386,0.4501805,0.45025602,7.5519085e-05,0.033901263,0.033908144,6.880611e-06
74,0.030305404,0.0114533715,0.45062327,0.45069373,7.045269e-05,0.03337393,0.03338804,1.41114e-05
75,0.030653356,0.013205356,0.45102334,0.4510888,6.54459e-05,0.032860585,0.03288261,2.2023916e-05
76,0.030998316,0.013244419,0.45138386,0.45144415,6.02901e-05,0.032332167,0.032362662,3.0495226e-05
77,0.031339575,0.012933272,0.45170766,0.45176274,5.507469e-05,0.03182466,0.03186169,3.7029386e-05
78,0.031677663,0.011968325,0.45199475,0.45204455,4.979968e-05,0.031330477,0.03137648,4.600361e-05
79,0.0320125,0.013438199,0.4522454,0.4522899,4.4494867e-05,0.030827906,0.030880783,5.287677e-05
80,0.032343358,0.011671079,0.4524636,0.45250276,3.916025e-05,0.030360052,0.030418143,5.8090314e-05
81,0.032670457,0.0126429,0.45264995,0.45268378,3.3825636e-05,0.029913742,0.029991291,7.754937e-05
82,0.03299448,0.0106852725,0.45280683,0.45283517,2.8342009e-05,0.029446121,0.02954131,9.518862e-05
83,0.03331486,0.012780551,0.45292732,0.45295012,2.2798777e-05,0.028973859,0.029086594,0.000112734735
84,0.033631876,0.012369034,0.4530239,0.45304117,1.7255545e-05,0.028540324,0.028671827,0.00013150275
85,0.03394562,0.012310093,0.45309836,0.45311007,1.1712313e-05,0.028131228,0.02827951,0.00014828146
86,0.03425541,0.013403571,0.4531363,0.45314237,6.0796738e-06,0.027701676,0.0278678,0.00016612373
87,0.03456166,0.01316097,0.4531535,0.45315394,4.4703484e-07,0.02729931,0.027479962,0.00018065237
88,0.03486416,0.013216627,0.45313933,0.4531341,-5.2452087e-06,0.026902512,0.027092345,0.00018983334
89,0.035162836,0.01225614,0.4531087,0.4530977,-1.0997057e-05,0.026518213,0.026719851,0.00020163879
90,0.035458416,0.011560251,0.45303798,0.45302117,-1.680851e-05,0.02611154,0.026328519,0.00021697953
91,0.035750594,0.01255338,0.45294085,0.45291817,-2.2679567e-05,0.025710948,0.025944212,0.00023326464
92,0.03603876,0.012436453,0.4528403,0.45281187,-2.8431416e-05,0.025357256,0.025599483,0.00024222769
93,0.036323503,0.012114063,0.45272082,0.45268646,-3.4362078e-05,0.025003584,0.025254004,0.0002504196
94,0.036604673,0.011970513,0.4525767,0.45253628,-4.041195e-05,0.024646368,0.024908375,0.00026200712
95,0.036882833,0.012325585,0.4524281,0.45238176,-4.634261e-05,0.02432442,0.024594376,0.00026995502
96,0.03715784,0.013208446,0.45225516,0.4522028,-5.236268e-05,0.023994535,0.024272703,0.00027816743
97,0.037429832,0.012209933,0.45204312,0.45198464,-5.8472157e-05,0.023641296,0.023929525,0.00028822944
98,0.037698116,0.01331253,0.45184338,0.4517788,-6.458163e-05,0.023336213,0.023630265,0.00029405206
99,0.037963513,0.013896678,0.45161194,0.4515412,-7.075071e-05,0.023019487,0.023319958,0.00030047074
