timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
0,0.0,0.0,-0.08105941,-0.08105941,0.0,0.27227485,0.27227485,0.0
1,0.0070512495,0.0005713095,-0.05162117,-0.051532596,8.85725e-05,0.2648355,0.26398963,-0.0008458793
2,0.0065258536,0.0012334322,-0.024491137,-0.024415495,7.564202e-05,0.23375951,0.23311993,-0.00063957274
3,0.0061399178,0.0014954875,0.0009248731,0.001002083,7.720984e-05,0.22856323,0.22792563,-0.0006376058
4,0.005916747,0.0010777405,0.02507303,0.025173428,0.000100398436,0.22188836,0.22135495,-0.00053341687
5,0.006286976,0.0020570608,0.04801316,0.048125014,0.00011185557,0.21625015,0.21535233,-0.00089782476
6,0.0058350777,0.0020391366,0.0693484,0.06945551,0.00010710955,0.20004809,0.19962719,-0.0004208982
7,0.005415499,0.0023686117,0.08976597,0.08987095,0.00010497868,0.19550425,0.19505176,-0.00045248866
8,0.0053050676,0.002053421,0.1094802,0.10959195,0.00011175126,0.18587255,0.18548417,-0.00038838387
9,0.005358702,0.0026169673,0.12786868,0.12798554,0.000116854906,0.18306361,0.18253975,-0.0005238652
10,0.005193283,0.0025133588,0.14502856,0.14514354,0.00011497736,0.17264074,0.17233868,-0.00030206144
11,0.005025218,0.0024816194,0.16148043,0.16159208,0.0001116544,0.16480121,0.1645254,-0.0002758056
12,0.0049774623,0.0021532818,0.17735355,0.1774673,0.000113755465,0.16216487,0.16193682,-0.00022804737
13,0.0049966224,0.002184235,0.19215856,0.19227579,0.000117227435,0.15558201,0.15531741,-0.00026459992
14,0.0049435697,0.0024528457,0.20590244,0.20601791,0.0001154691,0.14622241,0.14599878,-0.00022363663
15,0.0048719347,0.0018882866,0.21911162,0.21922237,0.00011074543,0.14310017,0.14286678,-0.00023339689
16,0.004840846,0.0013794977,0.23191006,0.23202042,0.000110358,0.13774604,0.13752005,-0.00022599101
17,0.004853664,0.0014617608,0.24366,0.24377201,0.00011201203,0.13139388,0.1312109,-0.00018298626
18,0.004841191,0.0018190355,0.254596,0.2547054,0.000109404325,0.124671675,0.124534175,-0.00013750046
19,0.0048039006,0.0020484687,0.26522258,0.2653268,0.00010421872,0.12152985,0.12135611,-0.00017374009
20,0.0047872113,0.0014919745,0.27529117,0.2753938,0.0001026392,0.11647411,0.11631496,-0.0001591444
21,0.004808788,0.0022382317,0.2847651,0.28486803,0.00010293722,0.11245066,0.11230766,-0.000142999
22,0.004825374,0.002231316,0.2937242,0.2938246,0.000100404024,0.10748408,0.10728885,-0.00019522756
23,0.0048175855,0.0019685621,0.30228373,0.30238008,9.635091e-05,0.10480909,0.104633175,-0.00017591566
24,0.0048243916,0.0013873916,0.31042585,0.31052044,9.459257e-05,0.10161422,0.10143034,-0.00018388033
25,0.004861836,0.0018927517,0.3180402,0.31813446,9.4264746e-05,0.098376274,0.09818668,-0.00018959492
26,0.004901606,0.001992582,0.32537606,0.32546845,9.23872e-05,0.09545526,0.09524657,-0.00020869076
27,0.0049262648,0.002314929,0.33231223,0.332402,8.9764595e-05,0.0929486,0.09273236,-0.0002162382
28,0.0049609332,0.0014645974,0.33893335,0.33902156,8.8214874e-05,0.09040293,0.09018228,-0.00022064894
29,0.0050167628,0.0021700263,0.34509617,0.34518364,8.7469816e-05,0.08783691,0.08761241,-0.00022449344
30,0.0050768056,0.002390361,0.35103822,0.3511243,8.606911e-05,0.085391805,0.085154556,-0.00023724884
31,0.005132088,0.0019877844,0.35670775,0.35679212,8.4370375e-05,0.083098665,0.08285936,-0.0002393052
32,0.0051945103,0.0020776298,0.3620302,0.36211327,8.305907e-05,0.08088493,0.08063999,-0.0002449453
33,0.0052691824,0.002298058,0.36709753,0.36717954,8.201599e-05,0.07872287,0.0784702,-0.00025267154
34,0.0053487257,0.002087001,0.37194577,0.3720266,8.08239e-05,0.07662525,0.07636636,-0.00025889277
35,0.0054293736,0.0024806294,0.37648916,0.37656868,7.9512596e-05,0.07464148,0.07437844,-0.00026304275
36,0.0055151726,0.0026593911,0.38085374,0.38093203,7.82907e-05,0.0726842,0.072419114,-0.0002650842
37,0.0056078685,0.0026513971,0.38500285,0.38507998,7.712841e-05,0.07080899,0.07053886,-0.00027012825
38,0.0057046134,0.002743836,0.38896683,0.38904276,7.593632e-05,0.06895055,0.06867537,-0.00027517974
39,0.0058041927,0.002911802,0.39276296,0.39283767,7.471442e-05,0.067179896,0.06689239,-0.000287503
40,0.005907692,0.002663379,0.39633772,0.39641124,7.352233e-05,0.0655106,0.06521766,-0.00029294193
41,0.006015139,0.0030859197,0.39971852,0.39979088,7.236004e-05,0.06389253,0.0635942,-0.0002983287
42,0.006125669,0.003073329,0.4029549,0.40302604,7.113814e-05,0.06231901,0.062020715,-0.00029829517
43,0.006238895,0.0032255396,0.40603358,0.4061035,6.991625e-05,0.06081128,0.060507104,-0.0003041774
44,0.006354761,0.0024405925,0.4089747,0.40904337,6.866455e-05,0.059351876,0.059041962,-0.00030991435
45,0.0064730165,0.0026809485,0.41179204,0.41185945,6.741285e-05,0.057911783,0.05759874,-0.0003130436
46,0.006593417,0.0028668048,0.41445655,0.4145227,6.6161156e-05,0.056550227,0.05625023,-0.00029999763
47,0.0067154737,0.0026244142,0.41698173,0.41704664,6.490946e-05,0.05523867,0.054968223,-0.00027044863
48,0.006838981,0.0033112534,0.41939265,0.41945624,6.3598156e-05,0.053988002,0.05373629,-0.00025171041
49,0.0069638593,0.002355428,0.4216392,0.42170155,6.234646e-05,0.052809935,0.05259011,-0.00021982566
50,0.0070898985,0.0030417414,0.42381024,0.42387128,6.1035156e-05,0.051646397,0.05144488,-0.00020151585
51,0.0072168033,0.0031555607,0.42584392,0.42590368,5.9753656e-05,0.050569266,0.050385043,-0.00018422306
52,0.007344346,0.0031478163,0.42776504,0.42782345,5.8412552e-05,0.049513064,0.04934439,-0.0001686737
53,0.007472567,0.0033249003,0.42958742,0.4296445,5.7071447e-05,0.048505098,0.048352905,-0.00015219301
54,0.007601141,0.0034234459,0.43129164,0.4313474,5.5760145e-05,0.047541525,0.047401503,-0.00014002249
55,0.007729927,0.0033790753,0.43290827,0.4329627,5.441904e-05,0.046613045,0.046487324,-0.0001257211
56,0.00785875,0.0035559586,0.4344616,0.43451467,5.3077936e-05,0.045725033,0.045617707,-0.00010732561
